CUSTNO,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,570579.1850684491,57785.5105381335,769263.303800831,151849.0846596683,0.0,402838.82265753014,0.0,0.0,0.0,264699.60253135924,46302.07287928055,1427370.6711798671,1346745.2673233268,0.0,3827846.869022515,484418.2751213763,11414.014774917909,301715.9129692217
2,1749598.6288362052,267229.4360854395,373009.9265216167,2103878.528961864,90110.12446232476,0.0,0.0,0.0,1083331.2786799925,492224.2404170466,0.0,1368958.6957160793,8604908.281508606,0.0,1042363.8825725169,2300129.7410465116,0.0,0.0
3,0.0,155.72810960689947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5093.475799690987,206103.08726348507,74215.24613389547,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,33242.76046408614,0.0,0.0,0.0,31692.14244807884,0.0,0.0,0.0,47452.6727229393,22531.3719851363,860631.6226465153,80402.70252676577,8187.6869366219025,639866.0217657617,34047.81865855529,0.0,0.0
6,0.0,135483.45535800254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329561.77553764236,333797.4138179977,778899.1288893034,722619.2889593075,66298.9974673215,206013.76984055818,1124752.0784446886,25461.28825957091,66211.86608980413
7,0.0,143269.86083834752,0.0,227064.05182754138,0.0,210330.18538041657,0.0,1217.8622533728985,0.0,298681.42089387943,42207.52878758315,541936.8178154355,1804538.1548350994,23180.72405433214,5970914.361904333,32873.75594619131,968.1098197555478,45349.8733615087
8,101423.70817006197,90093.90234457825,0.0,917717.2094696464,0.0,410941.44707675563,0.0,0.0,0.0,1906876.9481581307,0.0,2073509.9622181512,1204130.973716476,0.0,369981.81519768905,65806.21502800082,0.0,0.0
9,12666857.908519572,0.0,532082.9824424399,13282892.24433019,0.0,1086131.9778855925,0.0,0.0,0.0,0.0,71442.44946251207,214230.09044561928,5483735.671446454,0.0,5399709.316623856,22842834.16617735,0.0,0.0
10,0.0,40312.816640239376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155360.27275566544,576089.3190238168,1164216.1515147702,119599.0200085641,11271.361237427554,821238.3242256902,0.0,5305.241812260402,10089.427213684437
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30026.21604094331,586296.1080047939,34779.83131957219,986156.3963305652,1206844.5649267545,0.0,0.0,0.0,0.0,38938.883152813374
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658.041710687163,70945.89030030521,199008.13763787982,0.0,11058.694044268545,0.0,0.0,2517.0855313644247,0.0
13,0.0,31716.624989938526,226364.28064497912,0.0,0.0,0.0,0.0,936.8171179791528,0.0,131589.4842417621,308973.593700673,1444297.6901019283,21005.20603511756,90755.72468060772,186728.24927065364,0.0,7076.882782413055,10509.820014254623
14,302571.28582577145,494436.74800190586,43264.16285364788,2304936.651103532,0.0,173250.37871616433,0.0,0.0,0.0,194802.29717545435,138922.77060991523,1124725.4243465192,145729.89832976297,0.0,1496786.6710970695,109305.23852108612,8616.177395824376,13662.766018531009
15,0.0,17545.367015710675,804448.5464481345,0.0,0.0,47538.21367211826,0.0,0.0,0.0,117253.66508190458,141581.43112423114,345195.1218605107,71608.65693790077,41044.76827968902,1654381.0369481551,0.0,1839.408657535541,0.0
16,0.0,55335.38828031828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709058.135642437,45233.436182281206,1235265.5585182733,91659.080880513,10633.359657950523,20457.455188758024,151454.08989495283,0.0,0.0
17,0.0,7267.311781655309,2154930.5605037627,0.0,0.0,0.0,0.0,0.0,0.0,239402.6234505667,107794.71812907266,276061.1721702311,1498806.8784770726,0.0,153770.15814745854,79249.23308456835,0.0,0.0
18,0.0,32599.084277710957,466193.42830053234,0.0,0.0,52292.03503933008,0.0,30727.60146971621,0.0,150026.0144636254,0.0,489573.3400413992,519602.46507922385,0.0,0.0,0.0,0.0,36784.37004989118
19,0.0,33533.452935352354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178179.04433828103,0.0,1340979.6576062161,1361830.8243849112,0.0,124759.63626671728,27508.289350687948,0.0,70857.20653610467
20,565479.6690152058,300378.7596837615,0.0,11826.252699351115,0.0,870900.0744732065,0.0,0.0,0.0,1019491.5943359671,0.0,1001661.5297093382,0.0,0.0,25494.718024180853,0.0,0.0,0.0
21,0.0,8201.680439296706,0.0,0.0,0.0,0.0,0.0,2529.4062185437124,0.0,421015.5965643485,267544.0076005473,846252.2317490693,1286443.2404282524,321340.1288632648,0.0,0.0,7938.500521995493,0.0
22,28294381.514973264,0.0,0.0,365194.6833559624,0.0,0.0,0.0,0.0,0.0,24476.466433787777,0.0,2210872.4814631524,2431377.724409397,0.0,0.0,0.0,0.0,0.0
23,0.0,30937.98444190403,459240.25927048177,2306757.894019232,0.0,0.0,0.0,0.0,0.0,744036.4230886786,0.0,2385905.993573108,2820376.049571706,0.0,30737.58342431482,16730.393651186652,0.0,0.0
24,0.0,10381.8739737933,0.0,0.0,446300.14474264625,0.0,0.0,0.0,0.0,20281.294547860474,91159.98619514282,403093.5832606286,0.0,356536.54933108104,0.0,0.0,0.0,0.0
25,1060370.7035956278,180644.60714400338,882610.9957668931,0.0,0.0,36974.16618942531,0.0,0.0,0.0,48445.437460624526,6382.854230867354,584467.7476635502,797846.0675109127,70711.84172537098,8396962.944726324,0.0,0.0,0.0
26,8460323.777488621,88692.34935811615,184369.3470587214,1543680.764846301,0.0,1920860.7537780586,0.0,0.0,0.0,317693.97692436236,0.0,460627.1006854005,318545.4570732302,20203.383350105993,4870005.149030321,478489.25842393824,0.0,0.0
27,1378739.1569285574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179463.7779066255,0.0,337922.1673354451,5085812.646303674,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98319.82640468962,48704.177826456245,395900.397910502,0.0,171197.09049300343,0.0,0.0,0.0,0.0
29,1542388.2932060843,105998.93327242958,458820.86177343107,457262.06062041083,0.0,3948312.7466564886,0.0,0.0,84188.08837868655,221527.30165317844,65204.42498728838,408973.56856832147,888992.5811628175,96168.10474650453,1755619.7398119185,528445.6268350254,7454.445612117719,40988.298055593026
30,0.0,32183.809318759224,110367.7623817548,0.0,0.0,99354.86657472716,0.0,0.0,0.0,327862.4067935636,216497.72572568202,1685053.025444147,7801222.967726687,1595.0039486925784,0.0,76020.56062556742,30243.750769163315,0.0
31,0.0,86128.02648658921,0.0,0.0,0.0,83667.25606292814,0.0,0.0,241252.30527341258,322278.1051440842,0.0,557207.6292428251,38191.283700213746,0.0,449293.00453500974,0.0,0.0,0.0
32,0.0,40489.30849779386,0.0,0.0,9563.574530199563,167968.35497481786,0.0,0.0,0.0,408318.9505254824,140753.83252055303,1057344.4022755248,0.0,377590.6014538231,0.0,0.0,9400.34634982637,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163134.76899901195,327156.9695217355,737567.7280093343,0.0,37216.75880282683,0.0,0.0,0.0,0.0
34,0.0,188586.74073395526,43043.427328884376,0.0,0.0,0.0,0.0,0.0,0.0,168668.13589049442,0.0,912180.4577214868,0.0,0.0,51400.64117778398,104491.58140039383,0.0,104047.21814112077
35,0.0,61772.150144070125,470817.83754432783,0.0,7225.811867261892,163742.73598174067,0.0,0.0,0.0,495808.19520701095,34995.0069565285,1268429.5929991729,1381067.1709644399,61673.486016113035,1458719.3562408027,420314.4510263032,0.0,0.0
36,0.0,22321.02904365559,0.0,0.0,0.0,165052.6778695946,0.0,0.0,0.0,606744.0981242807,0.0,941695.0524489261,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,61979.78762354599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131106.067084046,0.0,1664014.9026686659,4933308.820286031,0.0,0.0,0.0,0.0,0.0
38,0.0,30522.709482952298,32006.651090708896,0.0,1062.6193922443958,0.0,31443.424010373823,16609.76750177038,16681.231133857396,709922.1743553664,488254.2102189509,1029987.5637301861,31960.074254389398,148229.0336318303,101773.26953201227,22307.191534915535,114188.55324016688,76721.68610405874
39,0.0,14223.167344096819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40655.19774662442,0.0,626008.5426277342,5092596.62432937,0.0,0.0,0.0,0.0,0.0
40,0.0,145346.23563310617,87190.5322815863,2419119.1209157673,0.0,83455.97511327428,0.0,0.0,0.0,165121.22456089142,130853.68422405374,257524.81014377516,310555.43850963283,21054.052122742036,769570.3997137818,259937.48451738417,10552.397035335473,167106.1382266485
41,1133225.7896096308,0.0,0.0,0.0,0.0,146840.26000943195,0.0,0.0,0.0,42414.76211379039,25055.547726354507,1783568.9536085296,41909.908692076664,27221.400724353338,0.0,0.0,0.0,0.0
