CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,-3,3,-2,1,-2,3
2,-2,3,-1,-2,3,-2
3,-1,2,-3,0,3,-3
4,-3,1,2,0,-3,3
6,1,-1,1,-1,2,-2
7,0,1,0,1,-3,2
8,-1,2,-2,1,-1,-1
9,-2,3,-3,3,0,-2
10,-1,1,-1,0,1,0
11,-2,3,-3,1,-1,3
12,3,0,-3,3,-2,-1
13,-2,3,-3,2,-2,2
14,-2,1,-1,1,-1,-1
15,2,1,-2,0,2,-2
16,1,0,0,-1,0,0
17,3,0,-3,3,-3,2
18,0,-1,0,2,-3,3
19,-2,2,0,0,-1,0
20,-1,0,1,1,-3,2
21,1,0,-1,1,-1,0
22,-1,-1,1,2,-2,-1
23,-1,2,-3,2,-1,1
24,-1,-2,3,0,-3,2
25,1,-1,3,-2,-1,3
26,0,0,0,1,-2,3
27,0,-1,3,-1,1,-3
28,0,0,-2,3,-3,0
29,-3,3,-3,0,3,-3
30,1,0,0,0,-1,0
31,0,0,1,0,-1,0
32,-2,1,-1,0,1,-1
33,-1,2,-1,1,-1,0
34,-3,3,-3,0,2,1
35,-2,1,1,1,-3,1
36,-1,-2,2,0,0,-1
37,-2,0,-1,3,-3,1
38,1,0,-1,1,-1,1
39,1,1,-2,3,-3,2
40,-3,3,-2,0,0,2
41,-3,3,-3,2,1,-3
42,-2,2,-1,1,-1,1
43,-1,2,-1,1,-1,1
44,-2,1,-2,2,-2,3
45,1,-1,1,-2,2,1
46,-1,3,-3,3,-2,1
47,-3,1,0,1,-1,1
48,-2,3,-1,-2,3,-3
49,1,0,2,-3,2,-1
50,0,-1,-1,3,-2,1
51,0,0,1,-1,1,0
52,-2,2,-1,0,-2,2
53,-1,-1,1,-1,1,-1
54,-1,1,-2,3,-3,3
55,1,0,-2,2,0,-1
56,1,1,0,0,0,0
57,-2,2,1,-3,1,2
58,-2,1,-1,1,-2,3
59,-1,2,-3,1,-1,3
60,-2,0,0,0,2,-2
61,-1,1,-2,2,0,-1
62,-3,2,-1,1,-2,3
63,-2,1,-1,0,1,0
64,0,3,-1,-2,-1,4
65,-1,-1,3,-2,0,1
66,0,0,-2,3,-3,2
