CUSTNO,가구인테리어_잡화_고가_clust_ids,가구인테리어_잡화_중가_clust_ids,가구인테리어_잡화_저가_clust_ids,가전_레저취미_멀티샵_고가_clust_ids,가전_레저취미_멀티샵_중가_clust_ids,가전_레저취미_멀티샵_저가_clust_ids,교육문화_아동_고가_clust_ids,교육문화_아동_중가_clust_ids,교육문화_아동_저가_clust_ids,식품_생활_고가_clust_ids,식품_생활_중가_clust_ids,식품_생활_저가_clust_ids,의류_이미용_고가_clust_ids,의류_이미용_중가_clust_ids,의류_이미용_저가_clust_ids,침구_주방_고가_clust_ids,침구_주방_중가_clust_ids,침구_주방_저가_clust_ids
1,3,2,0,4,1,3,0,0,0,2,5,1,2,3,5,1,5,4
2,4,5,1,3,4,0,0,4,0,5,5,1,1,3,4,3,3,1
3,1,0,3,0,4,5,0,0,0,5,3,2,0,3,0,0,1,2
4,1,4,3,0,4,1,0,0,3,0,2,1,3,3,4,1,5,4
6,2,4,1,0,4,3,0,0,1,3,2,3,3,3,5,4,2,3
7,3,0,5,4,5,1,0,0,3,4,3,3,3,0,1,4,5,5
8,5,3,1,5,2,3,0,0,4,2,4,4,0,2,0,4,0,1
9,3,5,0,3,4,3,0,0,0,2,3,3,1,4,0,5,1,1
10,1,4,2,0,5,0,0,0,0,5,1,5,2,2,5,2,5,4
11,2,4,0,2,3,5,0,5,0,2,4,0,0,1,0,0,4,1
12,1,0,0,0,4,4,0,0,0,4,1,4,2,1,1,0,0,5
13,1,5,0,0,2,3,0,0,5,2,1,1,3,0,2,5,4,3
14,2,2,5,3,4,4,0,0,0,2,0,0,3,5,5,3,4,1
15,1,3,0,0,3,5,0,0,3,1,3,5,3,2,2,5,3,5
16,2,0,4,5,4,3,2,5,0,1,5,3,4,5,1,3,2,1
17,2,0,3,0,4,3,0,0,0,4,3,4,4,4,1,1,0,0
18,1,5,1,0,0,3,0,0,5,4,1,1,2,3,0,0,4,2
19,2,4,3,2,5,3,0,0,0,5,0,0,5,2,3,3,4,1
20,5,4,2,3,0,3,0,0,0,0,4,1,3,5,4,0,0,1
21,1,4,5,0,2,4,0,5,2,4,3,4,1,1,2,0,2,3
22,1,3,2,3,4,3,0,0,0,0,2,2,5,3,0,2,1,1
