CUSTNO,금토일,평일,금토일 비율
1,408,450,0.4755244755244755
2,391,422,0.48093480934809346
3,318,641,0.3315954118873827
4,265,465,0.363013698630137
6,515,667,0.4357021996615905
7,375,209,0.6421232876712328
8,1001,479,0.6763513513513514
9,377,205,0.647766323024055
10,1426,1192,0.5446906035141329
11,314,257,0.5499124343257443
12,134,217,0.3817663817663818
13,1014,1271,0.4437636761487965
14,508,565,0.47343895619757687
15,322,456,0.4138817480719794
16,211,266,0.44234800838574423
17,393,251,0.610248447204969
18,294,256,0.5345454545454545
19,218,207,0.5129411764705882
20,418,369,0.531130876747141
21,887,784,0.53081986834231
22,162,182,0.47093023255813954
23,421,210,0.6671949286846276
24,240,397,0.37676609105180536
25,215,234,0.47884187082405344
26,392,347,0.530446549391069
27,338,170,0.6653543307086615
28,430,681,0.387038703870387
29,486,234,0.675
30,606,1200,0.33554817275747506
31,586,170,0.7751322751322751
32,472,673,0.41222707423580784
33,952,887,0.5176726481783578
34,389,393,0.49744245524296676
35,442,308,0.5893333333333334
36,315,423,0.4268292682926829
37,519,378,0.5785953177257525
38,799,1277,0.3848747591522158
39,220,249,0.4690831556503198
40,75,563,0.11755485893416928
41,172,401,0.30017452006980805
42,736,1017,0.41985168282943525
43,346,487,0.41536614645858344
44,446,355,0.5568039950062422
45,332,252,0.5684931506849316
46,222,269,0.45213849287169044
47,649,609,0.5158982511923689
48,297,228,0.5657142857142857
49,168,354,0.3218390804597701
50,586,755,0.4369873228933632
51,546,729,0.42823529411764705
52,397,613,0.3930693069306931
53,236,346,0.4054982817869416
54,219,329,0.39963503649635035
55,323,408,0.4418604651162791
56,278,280,0.4982078853046595
57,481,972,0.3310392291810048
58,276,190,0.592274678111588
59,355,298,0.5436447166921899
60,535,648,0.452240067624683
61,429,819,0.34375
62,388,355,0.522207267833109
63,210,258,0.44871794871794873
64,240,392,0.379746835443038
65,271,381,0.4156441717791411
66,709,934,0.43152769324406576
67,519,988,0.34439283344392835
68,377,851,0.30700325732899025
69,1046,1933,0.35112453843571667
70,246,254,0.492
71,310,569,0.35267349260523323
72,426,390,0.5220588235294118
73,301,171,0.6377118644067796
74,231,358,0.3921901528013582
75,278,402,0.4088235294117647
76,474,227,0.6761768901569187
77,353,487,0.42023809523809524
78,335,454,0.42458808618504434
79,688,885,0.43738080101716464
80,529,694,0.43254292722812754
81,316,303,0.5105008077544426
82,442,508,0.4652631578947368
83,442,450,0.49551569506726456
84,167,173,0.49117647058823527
85,364,310,0.5400593471810089
86,958,852,0.5292817679558011
87,258,188,0.57847533632287
88,653,473,0.5799289520426287
89,645,927,0.41030534351145037
90,227,222,0.5055679287305123
91,203,489,0.29335260115606937
92,685,694,0.49673676577229875
93,282,292,0.4912891986062718
94,532,432,0.5518672199170125
95,590,369,0.6152241918665277
96,357,221,0.6176470588235294
97,690,620,0.5267175572519084
98,313,260,0.5462478184991274
99,533,530,0.5014111006585137
100,290,328,0.4692556634304207
101,241,353,0.4057239057239057
102,802,1260,0.3889427740058196
103,284,386,0.42388059701492536
104,836,1132,0.4247967479674797
105,781,1023,0.4329268292682927
106,274,336,0.4491803278688525
107,296,337,0.4676145339652449
108,380,378,0.5013192612137203
109,481,588,0.4499532273152479
110,698,420,0.6243291592128801
111,485,673,0.41882556131260795
112,346,417,0.4534731323722149
113,647,700,0.4803266518188567
114,238,335,0.41535776614310643
115,243,237,0.50625
116,494,868,0.36270190895741555
117,426,581,0.423038728897716
118,336,219,0.6054054054054054
119,376,469,0.44497041420118344
120,520,445,0.538860103626943
121,237,443,0.34852941176470587
122,500,464,0.5186721991701245
123,518,680,0.4323873121869783
124,350,137,0.7186858316221766
125,342,256,0.5719063545150501
126,501,702,0.4164588528678304
127,200,316,0.3875968992248062
128,289,380,0.4319880418535127
129,311,455,0.40600522193211486
130,508,336,0.6018957345971564
131,832,833,0.4996996996996997
132,803,735,0.5221066319895968
133,371,574,0.3925925925925926
134,283,344,0.4513556618819777
135,304,271,0.528695652173913
136,296,128,0.6981132075471698
137,374,528,0.4146341463414634
138,409,310,0.56884561891516
139,456,591,0.4355300859598854
140,391,323,0.5476190476190477
141,290,712,0.2894211576846307
143,969,239,0.8021523178807947
144,808,3999,0.168088204701477
145,504,175,0.7422680412371134
146,186,197,0.4856396866840731
147,312,1076,0.22478386167146974
148,405,668,0.37744641192917056
149,288,323,0.4713584288052373
150,713,724,0.49617258176757134
151,409,618,0.39824732229795523
152,330,362,0.476878612716763
153,344,465,0.4252163164400494
154,281,256,0.5232774674115456
155,321,406,0.44154057771664373
156,840,178,0.825147347740668
157,267,495,0.35039370078740156
158,370,523,0.4143337066069429
159,201,272,0.4249471458773784
160,419,643,0.3945386064030132
161,266,202,0.5683760683760684
162,494,319,0.6076260762607626
163,513,671,0.43327702702702703
164,187,549,0.25407608695652173
165,230,202,0.5324074074074074
166,491,397,0.5529279279279279
167,264,395,0.4006069802731411
168,463,441,0.5121681415929203
169,249,490,0.33694181326116374
170,521,941,0.35636114911080713
171,246,378,0.3942307692307692
172,311,841,0.2699652777777778
173,602,948,0.38838709677419353
175,1238,2499,0.3312817768263313
176,413,656,0.3863423760523854
177,261,239,0.522
178,585,895,0.3952702702702703
179,713,421,0.6287477954144621
180,237,287,0.45229007633587787
181,322,398,0.44722222222222224
182,336,868,0.27906976744186046
183,863,970,0.4708128750681942
184,278,205,0.5755693581780539
185,619,744,0.4541452677916361
186,521,650,0.4449188727583262
187,212,253,0.4559139784946237
188,754,1663,0.31195697145221346
189,336,738,0.3128491620111732
190,538,365,0.5957918050941307
191,225,167,0.5739795918367347
192,410,560,0.422680412371134
193,380,723,0.3445149592021759
194,602,1083,0.3572700296735905
195,241,401,0.37538940809968846
196,561,551,0.5044964028776978
197,347,576,0.37594799566630555
198,520,562,0.4805914972273567
199,371,461,0.44591346153846156
200,339,521,0.3941860465116279
201,432,283,0.6041958041958042
202,505,935,0.3506944444444444
203,477,412,0.5365579302587177
204,467,865,0.3506006006006006
205,445,720,0.38197424892703863
206,647,901,0.41795865633074936
207,273,720,0.27492447129909364
208,287,98,0.7454545454545455
209,230,312,0.42435424354243545
210,430,440,0.4942528735632184
211,209,284,0.4239350912778905
212,537,870,0.3816631130063966
213,1036,2235,0.31672271476612657
214,409,518,0.4412081984897519
215,353,1072,0.24771929824561403
216,423,703,0.3756660746003552
217,235,222,0.5142231947483589
218,391,322,0.5483870967741935
219,575,473,0.5486641221374046
220,1147,590,0.6603339090385723
221,497,477,0.5102669404517454
222,477,512,0.48230535894843274
223,193,308,0.3852295409181637
224,265,115,0.6973684210526315
225,468,141,0.7684729064039408
226,278,424,0.396011396011396
227,401,892,0.31013147718484146
228,537,745,0.41887675507020283
229,429,400,0.517490952955368
230,344,312,0.524390243902439
231,620,717,0.4637247569184742
232,717,959,0.4278042959427208
233,576,537,0.5175202156334232
234,350,480,0.42168674698795183
235,518,407,0.56
236,418,777,0.3497907949790795
237,802,279,0.7419056429232193
238,454,236,0.6579710144927536
239,377,328,0.5347517730496454
240,234,285,0.4508670520231214
241,408,265,0.6062407132243685
242,591,457,0.5639312977099237
243,338,458,0.42462311557788945
245,891,1178,0.430642822619623
246,285,293,0.4930795847750865
247,1263,430,0.746012994683993
248,655,821,0.4437669376693767
249,224,332,0.4028776978417266
250,338,403,0.45614035087719296
251,212,350,0.37722419928825623
252,235,279,0.4571984435797665
253,264,172,0.6055045871559633
254,394,319,0.5525946704067322
255,346,419,0.4522875816993464
256,447,570,0.43952802359882004
257,701,1351,0.3416179337231969
258,370,307,0.5465288035450517
259,1071,1447,0.4253375694996029
260,417,672,0.38292011019283745
261,176,287,0.3801295896328294
262,887,466,0.6555801921655581
263,385,496,0.4370034052213394
264,737,1017,0.4201824401368301
265,253,278,0.4764595103578154
266,297,300,0.49748743718592964
267,364,82,0.8161434977578476
268,463,671,0.40828924162257496
269,2266,1508,0.6004239533651299
270,601,568,0.514114627887083
271,314,207,0.6026871401151631
272,655,701,0.4830383480825959
273,482,462,0.510593220338983
274,528,515,0.5062320230105465
275,875,1200,0.42168674698795183
276,997,1453,0.4069387755102041
277,547,586,0.48278905560458957
278,594,852,0.4107883817427386
279,209,396,0.34545454545454546
280,334,314,0.5154320987654321
281,603,564,0.5167095115681234
282,269,361,0.42698412698412697
283,252,303,0.4540540540540541
284,158,263,0.3752969121140142
285,315,346,0.47655068078668683
286,400,305,0.5673758865248227
287,454,261,0.634965034965035
288,595,1277,0.3178418803418803
289,438,342,0.5615384615384615
290,631,887,0.4156785243741766
291,575,997,0.3657760814249364
292,598,548,0.5218150087260035
293,354,607,0.368366285119667
294,159,217,0.4228723404255319
295,193,239,0.44675925925925924
296,844,739,0.5331648768161719
297,397,391,0.5038071065989848
298,407,628,0.3932367149758454
299,293,303,0.49161073825503354
300,506,1102,0.31467661691542287
301,289,213,0.5756972111553785
302,379,517,0.42299107142857145
303,587,1198,0.3288515406162465
304,154,202,0.43258426966292135
305,652,706,0.4801178203240059
306,434,218,0.6656441717791411
307,440,385,0.5333333333333333
308,260,476,0.3532608695652174
309,315,258,0.5497382198952879
310,602,585,0.5071609098567817
311,460,389,0.541813898704358
312,416,779,0.34811715481171546
313,724,612,0.5419161676646707
314,370,387,0.48877146631439894
315,629,555,0.53125
316,389,613,0.38822355289421157
317,483,710,0.40486169321039395
318,259,277,0.4832089552238806
319,168,258,0.39436619718309857
320,380,443,0.4617253948967193
321,677,731,0.48082386363636365
322,494,921,0.3491166077738516
323,500,493,0.5035246727089627
324,550,666,0.45230263157894735
325,197,368,0.3486725663716814
326,452,470,0.49023861171366595
327,312,146,0.6812227074235808
328,146,260,0.35960591133004927
329,434,720,0.37608318890814557
330,599,646,0.4811244979919679
331,305,736,0.2929875120076849
332,571,820,0.4104960460100647
333,1030,1282,0.4455017301038062
334,249,195,0.5608108108108109
335,391,415,0.4851116625310174
336,309,479,0.39213197969543145
337,530,377,0.5843439911797134
338,303,703,0.30119284294234594
339,850,1129,0.4295098534613441
340,204,178,0.5340314136125655
341,247,263,0.4843137254901961
342,431,820,0.3445243804956035
343,276,402,0.40707964601769914
344,270,412,0.39589442815249265
345,206,234,0.4681818181818182
