CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,3,-2,0,-1,-1,4
2,2,-3,0,3,-3,2
3,0,0,0,0,0,0
4,3,-2,-1,-1,0,4
6,-1,4,-1,-2,3,-3
7,4,-3,3,-3,-1,4
8,0,4,-3,-1,0,4
9,0,0,0,0,0,0
10,4,-3,3,-3,3,-1
11,-1,0,4,-3,-1,0
12,0,4,-3,3,-3,-1
13,0,0,4,-1,0,-1
14,0,-1,4,-3,-1,4
15,0,0,0,4,-1,-2
16,0,4,-3,-1,4,-1
17,-1,3,-3,-1,0,4
18,-3,0,3,-2,-1,-1
19,0,-1,4,-3,-1,4
20,-3,3,-3,-1,0,0
21,-3,-1,0,0,4,-3
22,0,0,0,0,0,0
23,-3,3,-3,3,-2,0
24,-1,0,0,4,0,-2
25,0,0,0,0,0,0
26,4,-3,0,3,-3,3
27,0,0,0,0,0,0
28,0,4,-3,-1,4,-3
29,-3,3,-2,-1,3,-1
30,1,0,-2,3,-2,-1
31,0,4,-3,-1,0,4
32,0,0,0,0,4,-3
33,-3,-1,0,0,0,0
34,-1,0,4,-3,3,-3
35,-1,0,0,4,-3,-1
36,-1,1,-2,3,-1,-1
37,3,-1,-2,-1,4,-3
38,3,-3,3,-3,0,3
39,0,0,0,0,4,-2
40,3,-2,2,-3,3,-3
41,-3,-1,0,0,0,0
42,-1,0,0,0,0,0
43,0,0,0,0,4,-3
44,0,0,0,0,0,0
45,0,0,0,0,0,4
46,0,0,0,0,0,0
47,-3,3,-3,-1,0,4
48,3,-1,-1,-1,3,-3
49,-1,4,-3,-1,4,-3
50,-1,3,-3,3,-1,0
51,0,3,-3,3,0,-3
52,-3,3,0,-3,-1,0
53,0,4,-3,-1,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,-1,-1,0,4,-3,3
57,0,0,0,0,0,0
58,-3,-1,4,-1,-2,3
59,-1,4,-3,-1,0,4
60,0,0,0,0,4,-3
61,-1,3,-1,-2,3,-2
62,-1,0,0,4,0,-3
63,0,0,0,0,0,0
64,0,4,-3,-1,0,0
65,-1,-1,3,-2,0,1
66,0,0,0,0,0,4
67,0,4,-3,3,-3,-1
68,1,0,2,-3,3,-3
69,0,0,0,0,0,0
70,-3,-1,0,4,-3,-1
71,0,4,-2,-1,-1,0
72,-3,-1,0,0,0,0
73,-3,3,-3,-1,0,0
74,-3,-1,4,-1,-1,0
75,4,-3,-1,0,0,0
76,0,0,0,1,-1,1
77,0,0,0,0,0,4
78,3,-3,3,-2,1,-1
79,4,-3,-1,0,0,0
80,0,-3,3,-3,-1,4
81,1,-1,0,1,-1,1
82,-2,2,0,-2,0,3
83,0,0,0,4,-1,-2
84,2,0,0,0,-1,1
85,1,0,0,-1,-1,-1
86,3,-2,2,-2,2,-3
87,-3,3,-1,-2,-1,0
88,3,-2,-1,3,-2,1
89,-2,1,0,0,-2,0
90,3,-3,3,-2,0,-1
91,-1,0,4,-1,0,0
92,2,-3,2,-2,3,-2
93,0,0,0,0,0,4
94,0,4,-3,3,-2,2
95,-1,0,0,0,4,-3
96,-1,-1,0,0,4,-3
97,0,1,-2,3,-3,-1
98,-1,4,-2,-1,-1,0
99,-1,0,2,-2,1,-2
100,-1,3,-2,-1,3,-3
101,0,0,0,0,0,0
102,3,-1,0,0,-2,3
103,0,0,0,0,0,0
104,0,4,-3,3,-3,-1
105,4,-3,-1,4,-3,-1
106,0,0,4,-3,-1,0
107,2,-2,3,-2,-1,-1
108,4,-3,0,-1,0,0
109,0,0,0,0,0,0
110,4,0,-1,-2,-1,0
111,-3,-1,0,4,-3,-1
112,0,0,0,0,4,-3
113,1,0,-1,1,-1,-1
114,4,-3,-1,4,-3,3
115,0,4,-1,0,-1,-1
116,-1,0,0,0,0,0
117,4,-3,-1,4,-3,3
118,-1,4,-1,-2,-1,0
119,-1,-1,1,0,-1,0
120,-1,-1,-1,3,-3,3
121,-1,4,-3,-1,0,4
122,1,0,-1,1,-2,3
123,0,0,4,-3,3,-3
124,-1,0,0,4,-2,1
125,3,-3,3,-1,-2,3
126,4,-3,3,0,-3,-1
127,3,-3,-1,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,-1,0,-1,-1,4,-3
131,0,-1,0,2,-2,-1
132,0,0,0,0,0,0
133,-3,-1,0,0,0,0
134,2,-1,2,-2,1,-1
135,-1,4,-3,3,0,-3
136,-3,-1,0,4,-2,1
137,2,-3,3,-3,-1,0
138,1,-2,-1,0,0,4
139,0,0,-1,-1,4,-3
140,3,-3,3,-1,-2,-1
141,0,0,0,0,0,0
143,0,4,-3,-1,0,4
144,-1,-2,-1,0,4,-3
145,-3,3,-2,-1,-1,0
146,-3,1,-1,3,-3,-1
147,-1,0,-1,-1,3,-1
148,0,0,0,0,0,0
