CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,침구_주방_중가_clust_id
1,3,-2,0,-1,-1,4,5
2,2,-3,0,3,-3,2,3
3,0,0,0,0,0,0,1
4,3,-2,-1,-1,0,4,5
6,-1,4,-1,-2,3,-3,2
7,4,-3,3,-3,-1,4,5
8,0,4,-3,-1,0,4,0
9,0,0,0,0,0,0,1
10,4,-3,3,-3,3,-1,5
11,-1,0,4,-3,-1,0,4
12,0,4,-3,3,-3,-1,0
13,0,0,4,-1,0,-1,4
14,0,-1,4,-3,-1,4,4
15,0,0,0,4,-1,-2,3
16,0,4,-3,-1,4,-1,2
17,-1,3,-3,-1,0,4,0
18,-3,0,3,-2,-1,-1,4
19,0,-1,4,-3,-1,4,4
20,-3,3,-3,-1,0,0,0
21,-3,-1,0,0,4,-3,2
22,0,0,0,0,0,0,1
23,-3,3,-3,3,-2,0,0
24,-1,0,0,4,0,-2,3
25,0,0,0,0,0,0,1
26,4,-3,0,3,-3,3,3
27,0,0,0,0,0,0,1
28,0,4,-3,-1,4,-3,2
29,-3,3,-2,-1,3,-1,2
30,1,0,-2,3,-2,-1,3
31,0,4,-3,-1,0,4,0
32,0,0,0,0,4,-3,2
33,-3,-1,0,0,0,0,1
34,-1,0,4,-3,3,-3,4
35,-1,0,0,4,-3,-1,3
36,-1,1,-2,3,-1,-1,3
37,3,-1,-2,-1,4,-3,2
38,3,-3,3,-3,0,3,5
39,0,0,0,0,4,-2,2
40,3,-2,2,-3,3,-3,5
41,-3,-1,0,0,0,0,1
42,-1,0,0,0,0,0,1
43,0,0,0,0,4,-3,2
44,0,0,0,0,0,0,1
45,0,0,0,0,0,4,1
46,0,0,0,0,0,0,1
47,-3,3,-3,-1,0,4,0
48,3,-1,-1,-1,3,-3,5
49,-1,4,-3,-1,4,-3,2
50,-1,3,-3,3,-1,0,0
51,0,3,-3,3,0,-3,0
52,-3,3,0,-3,-1,0,0
53,0,4,-3,-1,0,0,0
54,0,0,0,0,0,0,1
55,0,0,0,0,0,0,1
56,-1,-1,0,4,-3,3,3
57,0,0,0,0,0,0,1
58,-3,-1,4,-1,-2,3,4
59,-1,4,-3,-1,0,4,0
60,0,0,0,0,4,-3,2
61,-1,3,-1,-2,3,-2,2
62,-1,0,0,4,0,-3,3
63,0,0,0,0,0,0,1
64,0,4,-3,-1,0,0,0
65,-1,-1,3,-2,0,1,4
66,0,0,0,0,0,4,1
67,0,4,-3,3,-3,-1,0
68,1,0,2,-3,3,-3,4
69,0,0,0,0,0,0,1
70,-3,-1,0,4,-3,-1,3
71,0,4,-2,-1,-1,0,0
72,-3,-1,0,0,0,0,1
73,-3,3,-3,-1,0,0,0
74,-3,-1,4,-1,-1,0,4
75,4,-3,-1,0,0,0,5
76,0,0,0,1,-1,1,1
77,0,0,0,0,0,4,1
78,3,-3,3,-2,1,-1,5
79,4,-3,-1,0,0,0,5
80,0,-3,3,-3,-1,4,4
81,1,-1,0,1,-1,1,1
82,-2,2,0,-2,0,3,1
83,0,0,0,4,-1,-2,3
84,2,0,0,0,-1,1,1
85,1,0,0,-1,-1,-1,1
86,3,-2,2,-2,2,-3,5
87,-3,3,-1,-2,-1,0,0
