CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,4,-3,3,-2,-1,-1
2,0,4,0,-3,-1,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
6,-1,-2,-1,4,-1,-2
7,4,0,-3,-1,4,-2
8,0,0,4,-2,1,0
9,4,0,0,-2,0,-1
10,-3,-1,0,0,0,0
11,-1,-2,0,3,-3,3
12,0,0,0,0,0,0
13,0,0,0,0,0,4
14,4,-2,0,2,-3,2
15,0,0,0,0,0,0
16,0,0,0,4,-3,-1
17,-2,-1,-1,4,-2,1
18,-3,-1,0,0,0,0
19,4,-3,-1,4,-3,3
20,0,0,4,-3,-1,0
21,0,0,0,0,0,0
22,-1,1,0,-2,0,3
23,-2,2,-3,-1,4,0
24,-3,-1,0,0,0,0
25,-2,3,-1,-2,0,3
26,0,1,-2,-1,0,3
27,-1,-1,4,-2,1,-2
28,0,0,0,0,0,0
29,-3,2,0,-1,-1,-1
30,-2,2,-3,3,-3,-1
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,-3,-1,0,0,0
36,-3,-1,0,0,0,0
37,-3,-1,0,0,0,0
38,-3,-1,0,0,4,-3
39,-3,-1,0,0,0,0
40,-3,-1,0,0,0,0
41,-3,-1,4,-3,-1,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,2,1,-3,1,2,-1
45,0,4,-3,3,0,-2
46,-1,2,1,-3,1,0
47,4,-3,-1,0,0,0
48,-1,-2,3,-1,-1,-1
49,0,-2,3,-1,0,-1
50,-1,0,0,4,-3,-1
51,0,0,0,0,0,0
52,-1,0,1,-1,-1,-1
53,-3,3,-3,3,-3,-1
54,0,0,0,0,0,4
55,0,0,0,0,0,0
56,-1,3,-3,3,-3,3
57,4,-3,-1,0,0,0
58,-1,0,2,-2,-1,3
59,-1,-2,-1,4,-3,-1
60,0,0,0,0,0,0
61,-1,-1,-1,0,4,-2
62,0,0,0,4,-1,-1
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,4,-3,3,-3,3
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,2,-1,0,-1,-1,4
69,0,0,0,0,0,0
70,2,-1,1,0,-1,1
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,1,-1,1,-1,1,-1
74,-2,-1,3,-3,-1,4
75,0,0,0,0,0,0
76,-2,-1,-1,4,-3,-1
77,-3,0,3,-3,3,-2
78,0,-1,0,0,2,-2
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,1,-2,3,-1,0,-2
82,3,-1,-2,3,-2,0
83,-3,-1,0,0,0,4
84,0,0,0,4,-3,3
85,0,0,0,0,0,0
86,0,4,-3,3,-3,-1
87,0,4,-3,-1,4,-3
88,-1,0,0,0,0,4
89,0,0,0,0,0,0
90,4,-1,-2,-1,0,0
91,0,0,0,0,4,-3
92,-1,4,-3,-1,4,-2
93,-3,3,-1,0,-2,3
94,4,-3,-1,0,4,-3
95,0,4,-3,-1,0,0
96,-3,-1,0,0,0,0
97,0,2,-3,-1,4,-3
98,4,-1,-2,3,-3,-1
99,1,0,-1,1,0,0
100,4,-3,3,-3,-1,0
101,0,0,0,0,0,0
102,1,1,-2,1,2,-3
