CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,-1,3,-3,1,-1,3
2,1,-1,1,0,0,-2
3,1,-3,0,3,-1,-1
4,1,-1,0,2,-2,1
6,-3,2,1,-1,-2,2
7,-2,0,2,-2,0,2
8,-1,2,0,0,-1,1
9,-1,3,-3,3,-3,3
10,3,-1,1,-2,1,-2
11,-2,-1,0,3,-3,1
12,-1,4,-3,3,-3,0
13,-1,3,-2,2,-2,-1
14,-1,0,2,-3,2,1
15,0,1,-1,2,0,-3
16,-3,3,0,-2,1,0
17,3,0,-3,3,-1,0
18,-2,-1,0,1,2,-2
19,2,-2,1,2,-2,0
20,1,-1,2,-2,0,1
21,-1,0,4,-2,-1,3
22,3,-3,-1,0,0,0
23,3,-3,2,0,-1,0
24,-3,3,-3,0,3,-3
25,1,-1,1,0,-1,2
26,-1,-1,2,0,-1,0
27,0,4,-3,-1,0,0
28,1,-2,0,3,-3,-1
29,0,1,0,-2,3,-1
30,-1,1,-1,1,1,-2
31,1,0,-1,0,1,-1
32,3,-3,3,-3,3,-3
33,2,0,-2,3,-3,-1
34,1,-1,1,0,-2,1
35,-1,0,0,2,-2,0
36,-2,1,-1,3,-2,0
37,2,-1,0,0,0,-1
38,-2,0,0,-1,3,-1
39,-1,3,-3,3,-2,1
40,2,-1,-1,0,1,-2
41,0,3,-3,-1,4,-2
42,3,-3,3,-3,3,-1
43,0,-1,0,0,4,-2
44,4,-1,0,-2,1,2
45,-1,-1,-1,2,-2,3
46,-2,3,-3,3,-1,-2
47,2,-3,3,-3,-1,4
48,2,-3,2,-1,1,-1
49,-2,2,0,-2,1,2
50,-1,0,1,-1,0,1
51,0,0,2,-2,-1,3
52,-1,-1,1,-1,1,-1
53,3,0,-3,-1,0,4
54,1,-1,0,1,1,-2
55,1,-2,2,-2,3,-3
56,-1,0,3,-2,-1,3
57,-1,1,-1,0,0,2
58,-1,1,1,-3,3,-1
59,-1,3,-3,-1,4,-3
60,3,-1,-2,3,-2,0
61,-2,3,-3,0,3,-1
62,2,-3,1,1,1,-3
63,3,-2,1,0,-1,1
64,-3,-1,0,0,0,4
65,-1,3,-1,1,-3,3
66,-2,0,3,-3,3,-3
67,-1,-2,-1,0,0,0
68,-2,-1,-1,4,-3,3
69,0,0,0,2,-2,0
70,0,-3,0,0,3,-3
71,-1,0,0,0,4,-3
72,-1,0,4,-1,-2,3
73,3,-2,1,0,-1,-1
74,-3,3,-1,-2,0,3
75,-3,1,2,-2,1,-1
76,3,-1,-2,3,-2,2
77,0,-2,3,-1,-2,3
78,2,1,0,-2,-1,3
79,3,0,-3,1,2,-3
80,3,-1,-1,-1,3,-1
81,-3,0,3,-1,-2,2
82,-1,-1,1,2,-3,1
83,3,-1,-2,3,0,-2
84,0,-2,3,-2,1,-2
85,1,1,-3,2,-1,0
86,-2,0,2,-2,0,1
87,4,-1,-2,3,-3,0
88,-3,2,0,-2,0,3
89,-1,-1,0,-1,-1,0
90,3,-1,-2,3,-3,3
91,-1,-1,1,0,-1,0
92,-1,0,1,0,0,0
93,1,-1,3,-3,3,-3
94,3,-2,0,1,0,-2
95,0,0,2,-3,3,-3
96,-1,0,0,-1,3,-2
97,1,0,2,-3,2,0
98,3,-3,0,-1,0,0
99,-2,1,-2,3,-3,0
100,2,1,-3,0,3,-3
101,0,-1,4,-3,-1,4
102,3,-2,-1,3,-3,2
103,3,-3,3,-3,-1,0
104,-1,-1,3,-2,1,1
105,1,-2,-1,4,-3,-1
106,-1,-1,2,-1,1,-1
107,1,0,-1,0,-1,0
108,0,2,-3,2,-1,1
109,3,-3,-1,4,-2,1
110,1,-1,0,1,-2,0
111,0,-3,-1,4,-2,-1
112,3,-3,3,-1,0,-2
113,-2,1,-1,1,0,0
114,-2,3,-2,-1,1,0
115,1,-1,0,2,-3,3
116,-2,-1,2,1,-3,3
117,3,-3,3,-3,0,1
118,-3,3,-1,-2,0,3
119,1,0,-1,0,0,-1
120,-1,-1,0,1,-1,1
121,4,0,-2,-1,3,-3
122,-3,1,1,-2,2,0
123,3,-3,0,-1,0,0
124,0,-1,0,2,-2,1
125,-1,2,-3,2,-2,3
126,0,-2,-1,4,-2,2
127,-1,3,0,-3,3,0
128,-2,2,-2,-1,0,0
129,-3,-1,4,-1,-1,-1
130,0,2,-2,1,-1,0
131,0,-2,2,0,-1,0
132,2,-3,0,0,-1,4
133,3,-3,3,-3,2,-2
134,-1,4,-2,2,-3,2
135,4,0,-1,-1,1,-2
136,4,0,-3,0,-1,4
137,-2,1,0,1,-2,3
138,-1,4,-2,-1,0,3
139,0,0,-2,3,-3,1
140,-2,0,3,-2,2,-1
141,1,-1,1,-1,1,-1
143,3,-1,-2,0,3,-3
144,-2,-1,1,0,2,-3
145,-3,3,0,-3,3,-2
146,-3,3,-3,0,3,-1
147,1,-1,-1,2,1,-3
148,0,4,-3,-1,0,0
149,-1,-2,3,0,-2,0
150,0,3,-3,3,-1,-2
151,-1,3,-3,3,-2,-1
152,1,2,0,-3,2,-1
153,2,0,-1,0,1,1
154,-1,0,0,4,-3,-1
155,2,0,-1,1,-1,0
156,0,1,2,-3,1,1
157,3,-3,2,-1,-1,3
158,-1,3,-3,3,0,-1
159,-1,0,4,0,-3,2
160,1,-1,1,-2,2,0
161,2,1,-2,-1,2,1
162,-1,0,1,0,-2,2
163,4,-3,2,-2,3,-3
164,-3,-1,0,0,0,4
165,-1,4,-3,1,-1,-1
166,-1,1,-1,2,-1,-1
167,2,0,1,-3,3,-2
168,-1,3,-1,1,-2,0
169,-2,1,-2,3,-3,3
170,-2,-1,-1,0,4,-3
171,-2,-1,2,0,-1,1
172,-3,1,1,-1,1,0
173,0,-3,3,-2,2,-3
175,2,-1,0,2,-3,1
176,-1,-1,0,4,-3,0
177,-1,0,-1,1,-1,1
178,1,2,-3,-1,0,0
179,2,-1,1,0,-1,-1
180,1,-2,3,-2,1,0
181,1,0,0,-2,0,3
182,0,-1,0,1,0,-1
183,3,-2,1,-2,0,3
184,-2,1,0,0,1,1
185,-3,-1,4,-2,2,-2
186,-2,0,3,0,-1,-1
187,-1,2,-2,0,3,-2
188,0,-3,3,-3,3,-2
189,-3,2,-1,0,1,1
190,-1,0,1,0,0,0
191,1,-2,2,0,-1,-1
192,2,-2,0,2,-3,3
193,-2,-1,1,-1,3,-2
194,-1,3,-3,0,3,-3
195,1,-2,3,0,-2,1
196,0,0,2,-3,2,-1
197,-1,2,-2,1,-2,2
198,1,0,0,-2,3,0
199,1,2,-3,3,-2,2
200,3,-3,2,-1,1,-1
201,-3,2,0,-1,0,1
202,3,-1,0,-1,-1,3
203,-1,-2,0,3,-1,-2
204,3,-3,0,3,-3,3
205,3,-3,3,-3,3,-3
206,-1,1,0,-1,2,0
207,3,-1,-2,-1,0,0
208,-2,1,-1,-1,-1,0
209,4,-1,-1,0,2,-2
210,-3,2,-1,1,-2,0
211,1,0,-2,3,0,-1
212,3,-3,0,0,3,-3
213,1,-1,1,0,-1,1
214,1,0,2,-2,1,0
215,-3,3,0,-2,2,-2
216,3,-3,3,-1,1,-2
217,0,1,-1,1,-2,0
218,0,1,0,-1,-1,3
219,-2,2,-1,-1,3,-3
220,-3,-1,4,0,-1,-2
221,3,0,-3,3,-3,3
222,3,0,-3,3,-3,3
223,-2,0,1,0,-1,2
224,3,-3,0,-1,0,4
225,-2,1,2,-3,3,-2
226,4,-3,-1,4,-3,3
227,-2,1,-2,1,2,-3
228,3,-2,-1,3,0,-3
229,1,-3,3,-1,-1,0
230,1,-1,2,-2,1,0
231,0,0,4,-3,-1,4
232,-3,3,-3,0,3,0
233,-3,-1,0,0,0,0
234,0,1,0,-2,1,2
235,0,-3,1,1,-2,2
236,0,-2,-1,4,-1,-1
237,0,-1,-1,3,-3,2
238,0,-2,2,-3,3,-3
239,-3,2,0,0,-1,-1
240,0,1,-2,3,0,-3
241,3,-2,-1,3,-2,-1
242,0,0,-2,3,-2,-1
243,-3,-1,0,0,4,-3
245,-1,0,1,-1,1,-1
246,-1,0,3,0,-3,3
247,2,-2,0,0,1,-2
248,-2,1,0,1,-2,3
249,0,3,0,-2,-1,1
250,-2,-1,3,-3,1,-1
251,-1,-1,0,1,-2,3
252,0,-3,3,-1,-2,3
253,2,-3,3,-1,0,1
254,0,1,-1,-1,-1,3
255,-2,0,1,0,0,-2
256,-1,-2,3,0,-3,2
257,1,2,-2,2,-3,3
258,0,-2,3,-3,3,-1
259,1,-2,-1,3,-3,0
260,-1,-1,1,-2,-1,4
261,-3,2,-1,1,-2,2
262,-1,-1,1,-2,2,0
263,4,-3,-1,4,-3,-1
264,-1,3,0,-3,0,-1
265,0,1,-2,2,-2,1
266,3,-3,1,2,-1,-2
267,-3,2,-1,1,-1,2
268,-2,3,-3,0,3,0
