CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_중가_clust_id
1,-3,2,1,-3,3,-3,2
2,-2,-1,4,-3,-1,0,5
3,0,0,0,0,0,0,0
4,-2,-1,0,4,0,-3,4
6,-3,0,-1,4,0,-3,4
7,0,-2,-1,-1,0,0,0
8,0,4,-3,3,-3,3,3
9,0,0,4,-1,-1,0,5
10,0,0,0,4,-3,-1,4
11,1,-1,-1,4,-3,3,4
12,0,0,0,0,0,0,0
13,0,0,4,-3,-1,0,5
14,-2,0,0,-1,3,0,2
15,-3,3,0,-2,0,-1,3
16,0,0,0,0,0,0,0
17,-3,1,0,1,0,-1,0
18,-2,0,3,-3,-1,0,5
19,-3,-1,0,4,-3,-1,4
20,0,0,0,4,-3,-1,4
21,-3,-1,0,4,-3,-1,4
22,-3,3,-3,3,-3,-1,3
23,0,0,1,0,-1,-1,0
24,4,-3,-1,0,0,0,1
25,-1,-2,3,-2,-1,3,5
26,-3,0,3,-2,1,-2,5
27,-1,-2,-1,0,4,0,2
28,-3,-1,0,0,0,0,0
29,1,-2,0,1,0,-2,0
30,-3,3,-2,1,-2,3,3
31,0,0,-1,3,0,-3,4
32,-1,-2,-1,0,4,-2,2
33,0,0,0,4,-3,-1,4
34,-3,-1,4,-3,-1,0,5
35,0,-1,1,-2,3,-2,2
36,-3,3,-3,3,-3,-1,3
37,0,-3,0,-1,4,-2,2
38,0,-1,4,0,-2,2,5
39,0,0,0,0,4,-1,2
40,-1,4,-2,-1,3,-3,2
41,4,-2,-1,-1,0,0,1
42,-3,-1,4,-3,-1,0,5
43,0,0,0,0,0,0,0
44,-1,0,4,-3,-1,0,5
45,-1,4,-2,-1,-1,0,3
46,0,0,4,-3,3,-3,5
47,0,-1,4,-3,-1,0,5
48,-3,3,-3,0,3,0,2
49,-1,4,-3,3,-1,-1,3
