CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,0,0,0,0,0
2,-1,4,0,-3,-1,0
3,4,-3,-1,0,4,-3
4,-3,-1,0,0,4,-3
6,-3,-1,0,0,0,4
7,0,0,0,0,4,-3
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,-1,2,-3,3,-3,-1
11,4,-3,-1,0,0,0
12,0,0,0,4,-3,-1
13,-3,-1,0,0,0,4
14,0,-1,0,4,-3,3
15,4,-3,-1,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,-3,-1,0,4,-2,1
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,1,0,-2,3,-2
25,-1,0,0,0,4,-3
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,3,-3,-1,4,-3,-1
31,0,0,0,0,0,0
32,0,1,0,0,-2,1
33,-1,0,0,0,0,0
34,0,0,0,0,0,0
35,0,4,-3,2,-2,-1
36,0,0,0,0,0,0
37,0,0,0,0,4,-3
38,1,-2,3,0,-3,-1
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,4,-3,-1,4,-3,3
43,0,0,0,4,-3,-1
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,3,-2,0,1,-2,-1
48,0,0,0,0,4,-3
49,0,0,0,0,0,0
50,-1,-2,-1,0,4,-2
51,-1,0,0,0,0,0
52,4,-3,-1,4,-3,3
53,4,-3,-1,0,0,0
54,0,0,0,0,0,0
55,-1,0,0,4,-3,-1
56,0,0,0,0,0,0
57,-3,3,-1,-1,-1,3
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,1,0,1,-3,1
61,0,0,4,-3,1,-1
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,4,-3,-1,0,0
66,4,-1,0,-2,-1,0
67,4,-3,-1,0,0,0
68,0,0,0,0,0,0
69,0,-3,-1,4,-1,0
70,-3,-1,0,0,0,0
71,0,0,0,0,0,0
72,4,-2,-1,3,-3,-1
73,-1,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,-3,2,0,0,0,-1
80,3,-3,-1,0,0,0
81,0,0,4,-3,-1,0
82,0,0,0,0,0,0
83,0,0,0,0,4,-3
84,-1,0,0,0,0,0
85,0,0,0,0,0,0
86,4,-3,-1,4,-3,3
87,0,0,0,0,0,0
88,-2,3,-1,0,-1,-1
89,0,0,4,-3,-1,4
90,0,0,0,0,0,0
91,-3,-1,0,0,0,0
92,3,-3,-1,0,0,0
93,0,0,0,0,0,0
94,0,0,0,4,-3,-1
95,-3,-1,4,-3,-1,0
96,0,0,0,0,0,0
97,-3,3,-3,2,0,-1
98,0,0,0,0,0,0
99,-3,-1,4,-3,-1,4
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,1,-1,-1,0,0,0
103,0,0,4,-3,-1,0
104,0,0,0,0,4,-3
105,-1,4,0,-1,-2,-1
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,4,-2,-1,-1,0,0
109,4,-3,-1,0,4,-3
110,4,-3,-1,0,4,-2
111,0,0,0,0,0,0
