CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_저가_clust_id
1,0,0,0,0,0,0,3
2,-1,4,0,-3,-1,0,0
3,4,-3,-1,0,4,-3,5
4,-3,-1,0,0,4,-3,1
6,-3,-1,0,0,0,4,3
7,0,0,0,0,4,-3,1
8,0,0,0,0,0,0,3
9,0,0,0,0,0,0,3
10,-1,2,-3,3,-3,-1,0
11,4,-3,-1,0,0,0,5
12,0,0,0,4,-3,-1,4
13,-3,-1,0,0,0,4,3
14,0,-1,0,4,-3,3,4
15,4,-3,-1,0,0,0,5
16,0,0,0,0,0,0,3
17,0,0,0,0,0,0,3
18,0,0,0,0,0,0,3
19,0,0,0,0,0,0,3
20,0,0,0,0,0,0,3
21,-3,-1,0,4,-2,1,4
22,0,0,0,0,0,0,3
23,0,0,0,0,0,0,3
24,0,1,0,-2,3,-2,1
25,-1,0,0,0,4,-3,1
26,0,0,0,0,0,0,3
27,0,0,0,0,0,0,3
28,0,0,0,0,0,0,3
29,0,0,0,0,0,0,3
30,3,-3,-1,4,-3,-1,4
31,0,0,0,0,0,0,3
32,0,1,0,0,-2,1,3
33,-1,0,0,0,0,0,3
34,0,0,0,0,0,0,3
35,0,4,-3,2,-2,-1,0
36,0,0,0,0,0,0,3
37,0,0,0,0,4,-3,1
38,1,-2,3,0,-3,-1,2
39,0,0,0,0,0,0,3
40,0,0,0,0,0,0,3
41,0,0,0,0,0,0,3
42,4,-3,-1,4,-3,3,4
43,0,0,0,4,-3,-1,4
44,0,0,0,0,0,0,3
45,0,0,0,0,0,0,3
46,0,0,0,0,0,0,3
47,3,-2,0,1,-2,-1,5
48,0,0,0,0,4,-3,1
49,0,0,0,0,0,0,3
50,-1,-2,-1,0,4,-2,1
51,-1,0,0,0,0,0,3
52,4,-3,-1,4,-3,3,4
53,4,-3,-1,0,0,0,5
54,0,0,0,0,0,0,3
55,-1,0,0,4,-3,-1,4
56,0,0,0,0,0,0,3
57,-3,3,-1,-1,-1,3,0
58,0,0,0,0,0,0,3
59,0,0,0,0,0,0,3
60,0,1,0,1,-3,1,3
61,0,0,4,-3,1,-1,2
62,0,0,0,0,0,0,3
63,0,0,0,0,0,0,3
64,0,0,0,0,0,0,3
65,0,4,-3,-1,0,0,0
66,4,-1,0,-2,-1,0,5
67,4,-3,-1,0,0,0,5
68,0,0,0,0,0,0,3
69,0,-3,-1,4,-1,0,4
70,-3,-1,0,0,0,0,3
71,0,0,0,0,0,0,3
72,4,-2,-1,3,-3,-1,4
73,-1,0,0,0,0,0,3
74,0,0,0,0,0,0,3
75,0,0,0,0,0,0,3
76,0,0,0,0,0,0,3
77,0,0,0,0,0,0,3
78,0,0,0,0,0,0,3
79,-3,2,0,0,0,-1,0
80,3,-3,-1,0,0,0,5
81,0,0,4,-3,-1,0,2
82,0,0,0,0,0,0,3
83,0,0,0,0,4,-3,1
84,-1,0,0,0,0,0,3
85,0,0,0,0,0,0,3
86,4,-3,-1,4,-3,3,4
87,0,0,0,0,0,0,3
88,-2,3,-1,0,-1,-1,0
89,0,0,4,-3,-1,4,2
90,0,0,0,0,0,0,3
91,-3,-1,0,0,0,0,3
92,3,-3,-1,0,0,0,5
93,0,0,0,0,0,0,3
94,0,0,0,4,-3,-1,4
