CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,3,0,0,-3,2,-2
2,-3,-1,0,0,0,0
3,0,0,0,0,0,0
4,1,-1,0,1,1,-3
6,0,0,0,0,0,0
7,2,0,-1,-1,3,-3
8,-2,3,-1,1,-2,-1
9,-2,2,0,-1,-1,3
10,-1,-2,-1,0,4,-3
11,-2,1,-2,3,-3,3
12,0,0,0,0,0,0
13,0,4,-3,-1,0,0
14,1,1,1,-1,-2,-1
15,2,-1,0,1,-2,3
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,-3,3,-3,3,-3
19,0,0,0,0,4,-3
20,-3,-1,4,-3,3,-2
21,-3,3,-3,3,-3,3
22,0,0,0,0,0,0
23,-2,1,-2,3,0,-2
24,-2,0,-1,3,0,0
25,4,-3,3,-3,-1,0
26,2,-2,3,-2,1,-2
27,-3,3,-3,-1,4,-3
28,0,0,0,0,0,0
29,-1,3,0,-2,0,1
30,-3,-1,4,-2,1,-2
31,-1,0,4,-3,-1,0
32,0,4,-1,-2,-1,4
33,0,0,0,0,0,0
34,-3,-1,0,0,0,0
35,0,0,4,-1,-2,3
36,4,-3,2,-2,3,-3
37,0,0,0,0,0,0
38,0,0,0,0,4,-3
39,0,0,0,0,0,0
40,3,-3,3,0,-2,1
41,0,0,4,-3,-1,4
42,-3,-1,0,0,0,0
43,0,0,0,0,0,0
44,-3,3,-2,1,-2,3
45,4,-2,1,-2,0,3
46,-2,3,-3,3,-1,0
47,-2,-1,3,-3,3,-1
48,-3,3,0,-3,-1,4
49,-3,-1,0,0,0,0
50,-2,-1,3,-2,0,0
51,-3,3,-3,-1,4,-1
52,3,-2,-1,3,-3,-1
53,-2,3,-3,3,-1,-1
54,0,0,0,0,0,0
55,4,-3,3,-3,-1,0
56,0,4,-3,-1,0,0
57,0,4,-3,-1,0,0
58,-2,1,-2,3,-3,3
59,0,0,0,0,0,0
60,-1,4,-3,3,0,-3
61,4,-3,-1,0,4,-3
62,0,-1,0,-1,3,-1
63,0,0,0,4,-3,-1
64,0,0,0,0,0,0
65,2,-2,3,-3,-1,4
66,-1,4,-3,3,-1,-2
67,0,0,0,0,0,0
68,0,0,0,0,4,-3
69,0,0,0,0,0,0
70,-1,-2,-1,4,0,-3
