CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,교육문화_아동_중가_clust_id
1,-1,-1,0,0,0,0,0
2,-3,0,3,-3,3,-3,4
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,-3,-1,0,0,0,0,0
8,-3,-1,0,0,0,0,0
9,0,0,0,0,0,0,0
10,-1,-1,0,0,0,0,0
11,-1,1,-2,3,-3,3,5
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,-1,-1,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,4,-3,3,5
17,0,0,0,0,0,0,0
18,-3,-1,0,0,0,0,0
19,0,0,0,0,0,0,0
20,-3,-1,0,0,0,0,0
21,1,-1,-2,3,-3,3,5
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,4,-3,1
25,0,0,0,0,0,0,0
26,3,-2,-1,-1,0,4,2
27,0,0,0,4,-3,-1,5
28,0,0,0,0,0,0,0
29,-3,0,3,0,-3,3,0
30,0,0,0,0,0,0,0
31,1,0,-1,-1,2,0,1
32,-2,-1,-1,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,-3,-1,0,4,-3,3,5
37,-3,3,-3,-1,0,0,3
38,-1,-2,1,2,-1,-2,0
39,0,4,-3,-1,0,0,3
40,-1,-2,-1,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,-3,-1,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,3,-2,-1,0,3,3
48,0,0,4,-3,-1,0,4
49,4,-3,-1,4,-3,-1,2
50,-2,1,-1,-1,3,-3,1
51,0,-1,3,-2,-1,3,4
52,0,4,-3,3,-2,-1,5
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,2,-1,-1,3,-3,3,2
57,0,0,0,0,0,0,0
58,-1,-2,2,1,-2,-1,0
59,0,0,0,0,0,0,0
60,0,-1,4,-3,3,0,4
61,0,0,4,-3,-1,0,4
62,-2,1,-1,0,0,1,0
63,0,0,0,0,0,0,0
64,0,4,-3,-1,0,0,3
65,0,0,0,0,4,-3,1
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,-3,3,0,-3,3,-3,3
69,0,0,0,0,0,0,0
70,-3,-1,0,0,0,0,0
71,0,4,-3,-1,0,0,3
72,-3,2,-1,-1,3,-3,3
73,-1,0,4,-3,-1,0,4
74,-3,0,-1,0,0,0,0
75,0,0,0,0,0,0,0
76,-2,3,-3,3,-1,-2,5
77,3,-3,3,-3,0,3,4
78,0,0,0,0,0,0,0
79,-3,3,-3,3,-3,-1,5
80,0,0,0,0,0,0,0
81,3,-3,-1,0,0,0,2
82,-1,-2,0,3,0,-2,0
83,0,0,0,0,0,0,0
84,-1,0,0,0,4,0,1
85,0,0,0,0,0,0,0
86,-3,3,-1,1,-3,3,5
87,3,-3,-1,4,-2,1,2
88,0,0,0,0,4,-3,1
89,0,0,0,4,-3,-1,5
90,-3,-1,0,0,0,0,0
91,3,-3,0,3,-2,2,2
92,-2,1,0,0,-1,0,0
93,3,-3,-1,0,0,4,2
94,4,0,-3,-1,0,0,2
95,3,-3,-1,0,0,4,2
96,0,0,0,0,0,4,0
97,-1,4,-3,3,-3,3,5
98,-2,0,0,-1,3,-3,1
99,-3,-1,4,-1,0,-2,4
100,-1,4,-3,0,-1,0,3
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,4,-3,1
105,0,0,0,4,-3,-1,5
106,-3,1,1,-2,0,3,0
107,3,-2,-1,3,-3,3,2
108,4,-3,0,-1,4,-3,1
109,0,0,0,0,0,0,0
110,-1,1,-1,-1,-1,0,0
111,0,0,0,0,0,0,0
112,0,-3,3,-2,2,-2,4
113,-2,2,-1,1,0,-2,3
114,0,4,-3,3,-3,3,5
115,-1,0,0,0,0,0,0
116,-1,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,-1,3,-3,-1,0,4,3
119,1,-1,-2,0,3,-2,1
120,0,0,0,0,0,0,0
121,0,3,-1,-2,2,0,3
122,1,-2,1,-1,2,-2,1
123,-3,0,3,-3,3,-1,4
124,4,-3,-1,0,0,0,2
125,0,0,0,0,0,0,0
126,0,0,0,0,0,4,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,-3,-1,0,0,0,0,0
130,-2,3,-1,-2,3,-3,3
131,0,0,4,-2,-1,0,4
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,3,-3,3,-3,3,0,4
135,4,-3,-1,0,0,0,2
136,0,-3,0,1,0,1,0
137,-1,2,-2,2,-3,0,5
138,0,0,0,4,-3,-1,5
139,0,4,-3,-1,0,0,3
140,4,-3,-1,0,0,0,2
141,0,0,0,0,0,0,0
143,0,4,-3,3,-3,-1,5
144,4,-3,-1,0,4,-3,1
145,-3,-1,0,4,-3,-1,5
146,3,-3,-1,4,-2,-1,2
147,-1,-1,3,-3,-1,4,4
148,0,0,0,0,0,0,0
149,0,0,4,-3,-1,0,4
150,-1,0,0,0,0,0,0
151,-1,3,0,-3,3,-3,3
152,-3,-1,0,0,0,0,0
153,-1,0,4,-3,-1,0,4
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
