CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_고가_clust_id
1,-3,3,-2,1,-2,3,2
2,-2,3,-1,-2,3,-2,5
3,-1,2,-3,0,3,-3,5
4,-3,1,2,0,-3,3,0
6,1,-1,1,-1,2,-2,3
7,0,1,0,1,-3,2,4
8,-1,2,-2,1,-1,-1,2
9,-2,3,-3,3,0,-2,2
10,-1,1,-1,0,1,0,5
11,-2,3,-3,1,-1,3,2
12,3,0,-3,3,-2,-1,4
13,-2,3,-3,2,-2,2,2
14,-2,1,-1,1,-1,-1,2
15,2,1,-2,0,2,-2,1
16,1,0,0,-1,0,0,1
17,3,0,-3,3,-3,2,4
18,0,-1,0,2,-3,3,4
19,-2,2,0,0,-1,0,5
20,-1,0,1,1,-3,2,0
21,1,0,-1,1,-1,0,4
22,-1,-1,1,2,-2,-1,0
23,-1,2,-3,2,-1,1,2
24,-1,-2,3,0,-3,2,0
25,1,-1,3,-2,-1,3,3
26,0,0,0,1,-2,3,4
27,0,-1,3,-1,1,-3,3
28,0,0,-2,3,-3,0,4
29,-3,3,-3,0,3,-3,5
30,1,0,0,0,-1,0,1
31,0,0,1,0,-1,0,0
32,-2,1,-1,0,1,-1,5
33,-1,2,-1,1,-1,0,2
34,-3,3,-3,0,2,1,5
35,-2,1,1,1,-3,1,0
36,-1,-2,2,0,0,-1,0
37,-2,0,-1,3,-3,1,2
38,1,0,-1,1,-1,1,4
39,1,1,-2,3,-3,2,4
40,-3,3,-2,0,0,2,5
41,-3,3,-3,2,1,-3,2
42,-2,2,-1,1,-1,1,2
43,-1,2,-1,1,-1,1,2
44,-2,1,-2,2,-2,3,2
45,1,-1,1,-2,2,1,3
46,-1,3,-3,3,-2,1,2
47,-3,1,0,1,-1,1,2
48,-2,3,-1,-2,3,-3,5
49,1,0,2,-3,2,-1,3
50,0,-1,-1,3,-2,1,4
51,0,0,1,-1,1,0,0
52,-2,2,-1,0,-2,2,2
53,-1,-1,1,-1,1,-1,0
54,-1,1,-2,3,-3,3,2
55,1,0,-2,2,0,-1,4
56,1,1,0,0,0,0,1
57,-2,2,1,-3,1,2,5
58,-2,1,-1,1,-2,3,2
59,-1,2,-3,1,-1,3,2
60,-2,0,0,0,2,-2,5
61,-1,1,-2,2,0,-1,2
62,-3,2,-1,1,-2,3,2
63,-2,1,-1,0,1,0,5
64,0,3,-1,-2,-1,4,5
65,-1,-1,3,-2,0,1,0
66,0,0,-2,3,-3,2,4
67,0,0,-1,0,1,-1,1
68,1,-1,-1,3,-2,0,4
69,0,-1,1,0,-1,1,0
70,-3,2,-1,-1,-1,0,5
71,-2,1,1,-3,1,1,5
72,2,-1,-1,0,1,0,1
73,-1,-1,-1,3,-3,3,4
74,0,-1,-1,3,-3,3,4
75,-2,0,-1,3,0,-2,2
76,-1,1,-2,2,-2,3,2
77,0,-1,1,0,-1,2,0
78,3,-1,-1,2,-3,0,4
79,1,-1,0,0,2,-2,1
80,-1,2,-3,2,-1,1,2
81,0,0,-1,1,0,-1,1
82,-3,2,0,-1,-1,2,5
83,0,1,-1,1,-1,0,2
84,3,-3,3,0,-3,3,3
85,-2,1,-2,3,-1,-1,2
86,1,0,-1,0,1,-1,1
87,2,-2,3,-3,3,0,3
88,-3,2,-1,2,-3,3,2
89,1,0,-1,1,-1,1,4
90,-2,2,0,0,0,-1,5
91,0,3,-1,0,-2,2,2
92,1,1,-3,2,0,-1,4
93,3,-3,3,-3,3,-3,3
94,0,0,-3,3,-2,0,4
95,-3,2,0,-1,1,1,5
96,2,-2,0,0,1,0,1
97,2,-2,3,-3,3,-3,3
98,0,1,-2,3,-2,2,2
99,0,1,0,-1,0,1,1
100,0,-3,0,0,3,-3,3
101,2,1,-3,2,-1,0,4
102,2,-1,-1,2,-3,1,4
103,2,-1,2,-3,2,-1,3
104,0,-1,3,-2,2,-2,3
105,-1,1,0,-1,1,0,5
106,-1,-1,1,0,-1,0,0
107,1,1,-1,-1,1,-2,1
108,0,0,-1,1,-1,0,4
109,0,1,-2,3,-2,0,2
110,0,-1,0,0,1,0,1
111,3,-3,3,-3,1,2,3
112,1,0,-1,1,0,-2,1
113,0,-1,-1,3,-2,1,4
114,-2,3,-1,0,-2,2,2
115,-3,2,-1,1,-1,0,2
116,-3,1,0,1,-2,3,2
117,3,-3,3,-1,-2,0,3
118,2,-1,-1,1,-1,0,4
119,0,0,-1,1,-2,0,4
120,1,-2,2,1,-3,1,0
121,-1,3,-2,0,1,0,5
122,2,1,-3,2,-1,2,4
123,3,-2,0,1,-2,2,4
124,0,2,-3,2,-2,3,2
125,-2,3,-2,-1,0,3,5
126,1,1,-3,1,1,0,1
127,-2,-1,0,3,-3,3,4
128,1,0,-2,1,1,-2,1
129,-2,3,-1,0,-1,1,2
130,3,-1,-1,1,-2,0,4
131,-1,0,1,0,0,-1,0
132,-1,2,-2,-1,2,1,5
133,-3,3,-3,2,0,-2,2
134,-3,3,-1,0,-2,3,2
135,-3,3,-3,3,-3,2,2
136,0,-3,1,0,0,1,0
137,0,0,2,-3,0,0,3
138,-1,3,0,0,-3,3,2
139,-1,0,-2,1,1,-1,1
140,0,0,-1,1,-2,1,4
141,0,1,-2,3,0,-3,2
143,0,0,4,0,-3,-1,0
144,0,0,-1,0,0,-1,1
145,-1,-1,1,-2,3,-3,3
146,0,1,-1,3,-1,-2,2
147,-2,1,1,0,-1,1,0
148,-1,1,-1,2,-3,1,2
149,1,-1,-1,1,-1,1,4
150,3,-3,0,-1,4,-3,3
151,1,-1,1,-1,1,-1,3
152,1,0,-1,0,1,0,1
153,1,-1,2,-2,0,1,3
154,-1,-1,1,-1,0,2,0
155,-1,1,-1,0,1,0,5
156,1,-2,0,2,-3,2,4
157,-1,-1,0,1,-1,1,0
158,-1,1,-3,3,-2,2,2
159,-3,3,-3,3,-2,1,2
160,0,1,-1,0,0,1,1
161,1,1,-1,0,0,2,1
162,3,-2,1,-1,-1,3,3
163,-2,3,-2,1,-2,3,2
164,1,0,-2,2,1,-2,1
165,-1,-1,2,-3,0,3,0
166,-1,1,-3,2,-2,3,2
167,-1,1,0,-1,2,-2,5
168,-3,3,-3,3,-3,1,2
169,1,-1,3,-1,0,-1,3
170,0,-2,3,-2,1,0,3
171,-3,3,-2,1,-1,1,2
172,-1,2,-3,2,0,-1,2
173,1,0,-1,1,-2,3,4
175,0,1,-1,1,-1,1,2
176,1,-3,1,1,-1,-1,4
177,-1,3,-2,1,0,-2,2
178,0,0,-1,0,1,0,1
179,2,-1,1,-1,0,1,3
180,-1,1,-2,3,-3,3,2
181,-2,2,-1,2,-3,2,2
182,0,-1,0,1,-1,1,4
183,-2,1,-1,0,-1,3,2
184,-2,2,0,0,-2,3,2
185,-1,0,-1,1,-1,-1,2
186,-2,1,1,1,-3,2,0
187,-3,3,-2,-1,3,-3,5
188,1,-1,0,1,0,-1,1
189,-1,2,-2,0,0,1,5
190,0,-2,3,-3,2,1,3
191,3,-3,3,-3,0,3,3
192,-2,-1,0,2,1,-3,0
193,-3,3,-2,1,-1,1,2
194,-1,1,0,-1,1,-1,5
195,4,0,0,-1,0,-1,1
196,-2,3,-2,1,-1,1,2
197,1,-2,2,1,-3,2,0
198,-2,-1,3,-2,1,-2,0
199,1,-3,3,-3,3,-3,3
200,-3,1,0,0,-1,-1,0
201,-1,1,-2,2,0,-1,2
202,0,1,-2,0,0,2,1
203,3,-2,1,-2,2,-1,3
204,1,0,-1,1,0,-1,1
205,1,-1,1,-1,1,-1,3
206,-1,2,-2,0,1,1,5
207,3,-1,0,0,0,-1,1
208,-3,3,-3,0,3,-2,5
209,-2,1,-2,3,-3,3,2
210,0,0,-2,2,-2,3,4
211,1,0,-1,1,-2,3,4
212,-2,2,-3,1,0,1,2
213,0,0,-1,1,0,-1,1
214,-2,2,-2,1,-1,1,2
215,1,0,-1,1,-1,2,4
216,2,1,-2,0,0,0,1
217,0,-1,0,1,-1,2,4
218,0,-1,0,0,0,0,1
219,1,-1,0,1,-2,1,4
220,-1,2,-3,3,-2,1,2
221,1,-1,1,0,-2,2,0
222,-3,1,1,1,-2,0,0
223,-2,3,-3,3,-2,-1,2
224,0,-3,1,2,-3,3,4
225,-1,1,-1,1,-2,3,2
226,-2,1,-1,-1,4,-2,5
227,-2,1,-2,1,-1,2,2
228,0,1,0,-1,1,-1,5
229,-1,0,-1,0,1,-2,1
230,1,0,0,1,-2,0,4
231,-1,0,-1,3,-1,-2,2
232,-3,2,-1,1,-1,-1,2
233,1,-1,1,-1,0,1,3
234,-2,3,0,0,-3,3,2
235,1,-2,3,-2,-1,3,3
236,-3,3,-3,3,-2,0,2
237,2,-3,3,-3,3,0,3
238,-2,1,-1,1,-2,1,2
239,-1,2,-2,1,-2,3,2
240,-3,0,1,1,0,-1,0
241,0,1,-1,1,-1,0,2
242,0,3,-2,0,1,-1,5
243,-1,2,0,-1,2,-3,5
245,0,0,-1,1,-1,1,4
246,3,-3,3,-3,3,-3,3
247,0,-1,0,0,1,-1,1
248,-1,3,-3,0,2,0,5
249,-2,0,-1,2,-1,1,2
250,0,-2,2,0,0,-2,0
251,3,-3,3,-3,3,-3,3
252,-1,-2,2,0,-1,0,0
253,0,-3,2,1,-3,2,0
254,0,-2,-1,1,-1,1,4
255,3,-3,3,-2,1,-2,3
256,-1,0,-1,2,-3,3,2
257,1,-1,0,2,-3,3,4
258,-3,3,-3,2,1,-3,2
259,-1,3,-2,0,-1,2,2
260,0,2,-3,1,1,0,5
261,-1,1,-1,1,-2,2,2
262,2,-1,-1,0,1,-1,1
263,2,0,-1,1,0,0,1
264,1,1,-2,1,-1,1,4
265,3,-3,1,-1,2,-2,3
266,-3,3,-1,0,0,-1,5
267,3,-1,-1,-1,3,0,1
