CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,0,-3,2,-2,3
2,0,4,-3,3,-3,0
3,-1,-1,2,0,-2,2
4,-3,3,-3,3,-3,1
6,2,-1,1,-2,3,-2
7,3,-3,3,-2,2,-3
8,4,-3,-1,4,0,-3
9,3,-2,2,-2,-1,0
10,2,0,-1,0,1,-2
11,0,3,0,-3,1,-1
12,3,-1,-1,1,-2,2
13,-1,1,-1,1,-1,0
14,-3,2,-2,0,3,-3
15,1,2,-2,-1,2,-2
16,0,0,4,-3,2,-2
17,3,-3,3,0,-3,3
18,-2,-1,-1,4,-3,0
19,-3,3,-3,-1,0,0
20,0,0,0,4,-3,3
21,1,-1,1,1,-3,2
22,0,0,0,0,0,0
23,1,2,-3,-1,0,0
24,1,2,-3,2,0,-1
25,0,1,-3,3,-2,-1
26,-1,4,-3,3,-3,2
27,-3,3,-3,3,-3,3
28,-3,2,-2,3,-2,0
29,0,-3,2,-2,3,-2
30,-2,0,-1,2,1,-1
31,0,0,0,0,4,0
32,1,-1,1,-2,0,1
33,0,0,1,-1,2,-2
34,-3,-1,0,0,0,0
35,0,3,0,0,-3,3
36,3,-3,0,-1,4,-3
37,0,-1,0,4,0,0
38,2,-2,1,-1,0,1
39,-3,-1,0,0,0,4
40,-1,3,0,-3,1,2
41,1,2,0,0,-3,3
42,1,0,1,-2,2,-2
43,1,2,0,0,-1,-2
44,0,-3,2,1,-1,-1
45,-3,2,-2,3,-3,0
46,-3,0,0,-1,4,0
47,-2,1,2,-3,0,1
48,-3,3,-3,2,1,-3
49,-1,0,0,0,0,0
50,-1,-1,3,-1,0,-2
51,0,2,-2,0,3,-1
52,0,0,3,-3,3,-3
53,0,3,0,-1,-2,3
54,0,0,4,-3,-1,0
55,1,0,0,1,0,-2
56,-3,3,-3,3,-3,-1
57,-1,0,0,0,2,-1
58,0,0,0,0,0,0
59,3,-1,-2,0,-1,4
60,-2,1,-2,1,0,0
61,-2,3,-2,0,1,-2
62,1,1,1,-3,3,-1
63,0,0,0,0,0,0
64,-3,3,0,-2,-1,3
65,0,3,-3,0,2,1
66,-1,1,-1,0,1,0
67,0,-1,2,-1,-1,1
68,0,0,-2,2,1,-1
69,0,-2,2,0,0,0
70,0,0,3,-3,3,-3
71,2,-2,2,0,0,-2
72,0,-1,-2,3,-2,2
73,3,-3,0,0,3,-3
74,3,-3,3,-1,-2,0
75,2,-2,0,3,-3,0
76,-2,3,-1,-2,1,-1
77,0,-3,0,3,-1,0
78,-1,3,0,0,-2,-1
79,2,0,-1,1,0,-2
80,2,-1,-1,2,1,-2
81,-2,2,-3,3,-3,0
82,1,-1,2,-3,0,3
83,0,-3,3,-3,0,3
84,3,0,-3,-1,0,0
85,0,0,0,0,0,0
86,-2,3,-2,0,-1,3
87,-3,0,3,0,-3,0
88,0,2,-2,-1,3,0
89,-2,-1,3,-1,-1,2
90,4,0,-3,-1,0,0
91,0,0,3,0,0,-2
92,-2,1,1,-2,2,-2
93,0,0,4,-3,-1,4
94,-3,3,-2,-1,0,2
95,1,2,-2,2,-2,1
96,0,0,0,0,4,-3
97,-1,2,0,1,-3,0
98,0,-1,2,-2,3,0
99,-3,0,3,-2,0,-1
100,3,-3,3,-3,0,-1
101,0,-2,3,-3,3,-1
102,1,-3,2,-2,3,-2
103,2,-2,2,0,1,-2
104,-3,1,2,0,-2,0
105,0,-1,-1,3,-1,0
106,-1,4,-2,-1,3,-3
107,-3,3,0,-3,3,0
108,-2,-1,0,-1,4,-3
109,1,-1,0,1,-1,1
110,2,-3,0,3,0,-3
111,0,1,-1,2,-3,2
112,2,-1,-1,-1,2,-2
113,0,-1,2,-1,-1,0
114,2,-2,3,-1,1,0
115,0,-3,0,3,-3,3
116,-2,0,0,0,0,2
117,0,-1,-1,2,-3,3
118,0,0,4,-3,-1,0
119,-3,0,3,0,-1,-2
120,-1,-2,3,-2,1,-2
121,4,0,-2,2,-2,-1
122,0,-3,3,-2,-1,3
123,1,2,-2,1,-2,3
124,0,-3,-1,0,0,0
125,-3,0,0,0,3,0
126,1,0,-1,2,-3,1
127,4,-3,3,-3,1,-1
128,2,-2,1,1,-2,-1
129,-2,1,0,-1,2,-2
130,3,0,-2,1,-2,1
131,2,-3,3,-2,2,-3
132,1,1,-1,-2,0,3
133,-2,3,-3,3,-1,-2
134,3,0,-2,-1,3,-3
135,-1,4,-3,0,-1,4
136,0,4,0,-3,-1,0
137,-3,3,-2,1,-1,1
138,3,0,0,-2,2,-3
139,-1,1,-1,0,0,0
140,2,-2,0,3,-3,0
141,0,-1,1,1,-1,-1
143,0,1,-1,2,-1,-1
144,-1,0,0,-1,0,0
145,3,0,-3,3,-3,2
146,0,0,0,0,0,0
147,0,-3,3,-1,-2,2
148,1,0,-1,1,-1,2
149,-2,-1,3,0,-3,3
150,2,-2,3,-2,-1,0
151,1,0,2,-2,1,0
152,0,-2,1,-1,3,0
153,-1,1,0,-1,3,-3
154,-3,0,0,3,-3,3
155,0,0,4,-3,3,-3
156,0,4,-3,-1,0,4
157,-2,3,-3,3,-3,0
158,3,0,-2,1,-2,1
159,3,-3,3,-2,-1,0
160,-2,1,2,-3,1,-1
161,-3,-1,4,0,-3,3
162,0,-1,1,2,-2,-1
163,-2,0,0,1,-2,3
164,0,-3,3,-3,3,-3
165,1,-1,3,0,0,0
166,-3,3,0,-3,3,-3
167,0,0,4,-3,-1,4
168,-1,0,-1,-1,3,0
169,-1,-1,3,-2,2,-3
170,-1,-1,0,1,0,1
171,-3,3,-3,3,-2,-1
172,0,-2,2,-3,3,-3
173,1,0,-1,0,1,0
175,0,-1,1,-1,1,-1
176,-1,0,0,1,-1,1
177,0,0,3,-3,3,-1
178,1,-3,2,0,0,-1
179,-3,3,0,-3,1,-1
180,0,0,0,0,4,-3
181,0,0,4,-3,3,-3
182,4,0,-2,0,2,-1
183,0,2,-1,-1,0,1
184,-3,3,-2,-1,3,0
185,0,0,-3,1,-1,0
186,1,2,-3,3,-3,0
187,-3,2,1,0,-2,-1
188,2,-2,3,-3,2,0
189,-1,0,4,-1,1,-3
190,0,0,0,0,0,4
191,4,-3,-1,0,0,0
192,0,-3,0,2,0,1
193,-2,3,-2,1,0,0
194,2,-3,2,0,-1,-1
195,3,-3,3,-3,3,-1
196,0,-1,1,-1,2,-3
197,3,-3,3,0,-2,-1
198,0,0,1,0,-1,0
199,-2,1,0,1,0,-3
200,0,0,0,0,-1,0
201,3,-3,3,-1,-1,2
202,1,1,-2,0,0,0
203,2,0,-1,0,2,-3
204,-1,-1,3,-2,2,-2
205,-1,1,-2,3,-2,-1
206,-1,2,1,-2,1,-1
