CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_저가_clust_id
1,0,0,-3,2,-2,3,1
2,0,4,-3,3,-3,0,1
3,-1,-1,2,0,-2,2,2
4,-3,3,-3,3,-3,1,1
6,2,-1,1,-2,3,-2,3
7,3,-3,3,-2,2,-3,3
8,4,-3,-1,4,0,-3,4
9,3,-2,2,-2,-1,0,3
10,2,0,-1,0,1,-2,5
11,0,3,0,-3,1,-1,0
12,3,-1,-1,1,-2,2,4
13,-1,1,-1,1,-1,0,1
14,-3,2,-2,0,3,-3,0
15,1,2,-2,-1,2,-2,5
16,0,0,4,-3,2,-2,3
17,3,-3,3,0,-3,3,4
18,-2,-1,-1,4,-3,0,1
19,-3,3,-3,-1,0,0,0
20,0,0,0,4,-3,3,1
21,1,-1,1,1,-3,2,4
22,0,0,0,0,0,0,2
23,1,2,-3,-1,0,0,0
24,1,2,-3,2,0,-1,1
25,0,1,-3,3,-2,-1,1
26,-1,4,-3,3,-3,2,1
27,-3,3,-3,3,-3,3,1
28,-3,2,-2,3,-2,0,1
29,0,-3,2,-2,3,-2,3
30,-2,0,-1,2,1,-1,1
31,0,0,0,0,4,0,5
32,1,-1,1,-2,0,1,3
33,0,0,1,-1,2,-2,5
34,-3,-1,0,0,0,0,2
35,0,3,0,0,-3,3,1
36,3,-3,0,-1,4,-3,5
37,0,-1,0,4,0,0,4
38,2,-2,1,-1,0,1,3
39,-3,-1,0,0,0,4,2
40,-1,3,0,-3,1,2,0
41,1,2,0,0,-3,3,1
42,1,0,1,-2,2,-2,3
43,1,2,0,0,-1,-2,2
44,0,-3,2,1,-1,-1,2
45,-3,2,-2,3,-3,0,1
46,-3,0,0,-1,4,0,0
47,-2,1,2,-3,0,1,2
48,-3,3,-3,2,1,-3,1
49,-1,0,0,0,0,0,2
50,-1,-1,3,-1,0,-2,2
51,0,2,-2,0,3,-1,0
52,0,0,3,-3,3,-3,3
53,0,3,0,-1,-2,3,0
54,0,0,4,-3,-1,0,3
55,1,0,0,1,0,-2,5
56,-3,3,-3,3,-3,-1,1
57,-1,0,0,0,2,-1,5
58,0,0,0,0,0,0,2
59,3,-1,-2,0,-1,4,4
60,-2,1,-2,1,0,0,1
61,-2,3,-2,0,1,-2,0
62,1,1,1,-3,3,-1,3
63,0,0,0,0,0,0,2
64,-3,3,0,-2,-1,3,0
65,0,3,-3,0,2,1,0
66,-1,1,-1,0,1,0,0
67,0,-1,2,-1,-1,1,2
68,0,0,-2,2,1,-1,5
69,0,-2,2,0,0,0,2
70,0,0,3,-3,3,-3,3
71,2,-2,2,0,0,-2,3
72,0,-1,-2,3,-2,2,1
73,3,-3,0,0,3,-3,5
74,3,-3,3,-1,-2,0,3
75,2,-2,0,3,-3,0,4
76,-2,3,-1,-2,1,-1,0
77,0,-3,0,3,-1,0,4
78,-1,3,0,0,-2,-1,1
79,2,0,-1,1,0,-2,4
80,2,-1,-1,2,1,-2,4
81,-2,2,-3,3,-3,0,1
82,1,-1,2,-3,0,3,3
83,0,-3,3,-3,0,3,3
84,3,0,-3,-1,0,0,5
85,0,0,0,0,0,0,2
86,-2,3,-2,0,-1,3,0
87,-3,0,3,0,-3,0,2
88,0,2,-2,-1,3,0,0
89,-2,-1,3,-1,-1,2,2
90,4,0,-3,-1,0,0,5
91,0,0,3,0,0,-2,2
92,-2,1,1,-2,2,-2,0
93,0,0,4,-3,-1,4,3
94,-3,3,-2,-1,0,2,0
95,1,2,-2,2,-2,1,1
96,0,0,0,0,4,-3,5
97,-1,2,0,1,-3,0,1
98,0,-1,2,-2,3,0,3
99,-3,0,3,-2,0,-1,2
100,3,-3,3,-3,0,-1,3
101,0,-2,3,-3,3,-1,3
102,1,-3,2,-2,3,-2,3
103,2,-2,2,0,1,-2,3
104,-3,1,2,0,-2,0,2
105,0,-1,-1,3,-1,0,4
106,-1,4,-2,-1,3,-3,0
107,-3,3,0,-3,3,0,0
108,-2,-1,0,-1,4,-3,5
109,1,-1,0,1,-1,1,4
110,2,-3,0,3,0,-3,4
111,0,1,-1,2,-3,2,1
112,2,-1,-1,-1,2,-2,5
113,0,-1,2,-1,-1,0,2
114,2,-2,3,-1,1,0,3
115,0,-3,0,3,-3,3,4
116,-2,0,0,0,0,2,2
117,0,-1,-1,2,-3,3,4
118,0,0,4,-3,-1,0,3
119,-3,0,3,0,-1,-2,2
120,-1,-2,3,-2,1,-2,3
121,4,0,-2,2,-2,-1,4
122,0,-3,3,-2,-1,3,3
123,1,2,-2,1,-2,3,1
124,0,-3,-1,0,0,0,4
125,-3,0,0,0,3,0,0
126,1,0,-1,2,-3,1,4
127,4,-3,3,-3,1,-1,3
128,2,-2,1,1,-2,-1,4
129,-2,1,0,-1,2,-2,0
130,3,0,-2,1,-2,1,4
131,2,-3,3,-2,2,-3,3
132,1,1,-1,-2,0,3,5
133,-2,3,-3,3,-1,-2,1
134,3,0,-2,-1,3,-3,5
135,-1,4,-3,0,-1,4,1
136,0,4,0,-3,-1,0,0
137,-3,3,-2,1,-1,1,1
138,3,0,0,-2,2,-3,5
139,-1,1,-1,0,0,0,0
140,2,-2,0,3,-3,0,4
