CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_중가_clust_id
1,3,0,-2,-1,0,1,5
2,0,0,0,-1,1,2,5
3,0,-3,0,2,1,-2,3
4,-3,1,2,-2,0,1,2
6,-1,1,0,-2,3,-1,2
7,2,0,-1,1,-1,2,3
8,1,-3,3,-2,1,0,4
9,0,-2,0,2,-1,0,3
10,-1,1,0,0,-1,1,1
11,3,-3,2,-2,3,-2,4
12,0,0,3,0,-3,2,1
13,1,0,0,0,-1,0,1
14,-3,2,-1,1,0,-1,0
15,1,-1,-1,3,-2,0,3
16,2,0,-1,-2,0,3,5
17,3,-1,-2,3,-2,2,3
18,-2,-1,3,-1,0,0,1
19,0,3,-2,2,-2,1,0
20,1,-1,1,-2,1,1,4
21,0,-2,1,2,-1,-1,3
22,-1,2,-1,-1,-1,3,2
23,3,-1,1,-3,0,1,4
24,-2,1,-2,2,0,-1,0
25,2,-3,2,-2,2,1,4
26,2,-1,1,1,-1,-2,3
27,-2,0,0,2,0,-3,0
28,-2,3,-3,3,-2,-1,0
29,1,-2,1,-2,2,0,4
30,-1,0,0,1,-1,1,1
31,-3,2,0,1,-2,0,0
32,1,-2,0,0,1,0,5
33,0,-1,1,0,0,-1,1
34,-2,3,-2,0,-1,0,0
35,-2,2,1,0,-3,2,1
36,-3,2,0,0,-1,1,2
37,-1,0,-1,-1,2,0,2
38,0,0,-2,1,2,-1,5
39,-3,3,-2,1,-2,2,0
40,-1,0,0,0,2,-2,2
41,-1,3,-1,-1,0,1,2
42,-1,-1,1,0,-1,1,1
43,-1,3,-3,3,-2,0,0
44,1,-2,0,0,1,0,5
45,2,0,-2,0,0,1,5
46,1,-2,0,0,0,2,3
47,-1,1,0,1,-2,3,0
48,0,-1,-1,2,0,-2,3
49,-1,1,0,-1,1,-1,2
50,0,0,1,-1,2,-2,4
51,0,0,2,-3,2,-1,4
52,1,-1,0,0,-2,1,3
53,0,-2,1,-1,0,0,4
54,1,0,-2,2,0,1,5
55,0,-1,0,2,-3,1,3
56,0,2,-3,1,2,0,5
57,-2,2,-2,2,1,-1,0
58,1,0,2,-1,-1,2,1
59,1,0,0,-1,1,1,5
60,0,-1,0,2,-1,-1,3
61,-2,1,0,1,1,-2,2
62,-2,2,0,-2,2,1,2
63,-1,-1,2,1,-2,0,1
64,0,2,-3,0,0,3,5
65,2,-2,3,-2,-1,3,4
66,1,0,0,-1,0,0,5
67,1,0,0,-1,1,0,5
68,0,-2,-1,1,1,-1,5
69,0,0,-1,0,1,0,5
70,1,0,0,-2,3,-3,4
71,-1,1,-1,0,2,-2,2
72,2,-1,-1,2,-3,2,3
73,-1,-1,1,1,1,-3,1
74,1,0,1,-3,1,2,4
75,1,0,-1,0,0,2,5
76,-2,2,-2,3,0,-2,0
77,0,-1,1,-1,0,1,1
78,3,0,-1,0,-2,2,3
79,1,-1,0,2,-2,0,3
80,3,-1,-1,0,1,0,5
81,-3,3,0,-3,2,-1,2
82,0,-1,1,-1,-1,2,1
83,-1,-1,0,1,0,-1,1
84,3,-3,3,-1,-2,3,4
85,1,0,-2,2,-2,0,3
86,-1,1,1,-2,0,1,2
87,-3,3,0,-3,0,1,2
88,0,-1,1,-1,1,1,4
89,0,0,-1,2,-2,2,3
90,-1,-1,-1,2,1,-2,5
91,-1,1,-1,0,0,1,2
92,1,-1,0,1,0,1,3
93,0,-1,3,-2,2,-3,4
94,3,-1,-1,0,0,2,5
95,-1,0,1,1,-2,0,1
96,1,-2,0,0,1,-1,5
97,3,-3,3,-3,3,-3,4
98,0,-1,-1,3,-3,3,3
99,0,-2,2,1,-2,0,1
100,2,-2,-1,0,3,-3,5
101,0,3,-2,-1,3,0,2
102,1,-1,2,-2,0,1,4
103,1,-2,2,1,-2,0,3
104,0,-2,2,0,0,-1,1
105,-2,2,0,-2,2,0,2
106,-3,3,-3,2,-1,1,0
107,-1,2,-3,3,-3,1,0
108,1,1,-1,1,1,-2,5
109,2,-1,1,-1,1,0,4
110,3,-2,0,0,0,0,3
111,3,-2,1,1,-3,2,3
112,2,-3,1,2,-1,-2,3
113,-1,1,-1,1,-1,0,0
114,0,0,2,-1,-2,3,1
115,-3,3,-1,-1,-1,1,2
116,-2,-1,3,-2,0,1,1
117,3,-3,3,-3,3,-3,4
118,-3,3,-3,1,1,0,0
119,-3,1,2,-3,1,0,2
120,-1,0,0,0,2,-3,2
121,0,2,-2,0,1,-1,5
122,0,-1,2,-2,0,1,4
123,2,0,0,-1,0,1,5
124,0,-1,1,-1,0,2,1
125,-1,0,1,-1,-1,3,1
126,1,0,0,1,-3,2,3
127,0,-1,2,-3,2,-1,4
128,1,-3,0,3,-2,-1,3
129,0,0,-2,3,-1,-1,0
130,-1,1,-1,-1,1,-1,2
131,1,-2,2,0,1,-2,4
132,0,0,0,-2,0,2,1
133,0,0,0,2,-1,-2,3
134,-1,2,-2,-1,2,0,2
135,-3,3,-2,1,-2,2,0
136,-3,2,-2,3,-2,2,0
137,1,1,0,1,-2,0,3
138,1,0,0,1,-3,3,3
139,2,1,-3,1,2,-2,5
140,1,1,-3,1,-1,3,0
141,-2,2,0,0,-1,2,2
143,0,-1,0,2,-2,1,3
144,0,-1,0,-1,2,-1,5
145,1,0,-2,2,0,-1,5
146,-1,0,0,2,-2,1,0
147,-1,0,0,0,2,-2,2
148,2,-2,1,-1,1,1,4
149,1,-1,1,0,-2,3,1
150,1,-2,0,1,-2,0,3
151,1,-2,2,1,-3,2,3
152,-1,0,1,-2,2,-1,2
153,1,-1,2,-1,-1,-1,1
154,-1,1,-2,3,-1,0,0
155,-2,3,-1,0,-2,3,0
156,-3,2,-2,3,0,-3,0
157,1,-1,2,-2,0,0,4
158,1,0,-2,3,-3,3,3
159,-1,3,-1,-2,3,0,2
160,-2,3,-1,-2,2,0,2
161,1,2,-3,2,-1,2,0
162,1,0,0,-2,3,-2,4
163,-2,1,-1,1,-1,1,0
164,0,-1,1,-2,1,-2,4
165,-3,3,0,-3,0,1,2
166,-2,2,-3,1,0,2,0
167,0,1,0,-1,1,0,2
168,-2,1,-2,3,-3,3,0
169,0,-2,3,0,0,-3,1
170,-2,0,1,0,-1,1,1
171,-1,0,1,1,-2,0,1
172,-2,0,1,0,0,-2,1
