CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_고가_clust_id
1,1,-2,2,0,-2,0,2
2,1,-1,2,-2,0,1,1
3,0,0,0,0,0,0,0
4,-2,0,0,2,-3,0,3
6,2,-2,0,1,-1,1,3
7,2,-1,-1,2,-3,0,3
8,1,-1,0,1,0,-1,0
9,-1,-2,2,-2,2,0,1
10,3,-3,3,-1,-1,-1,2
11,0,0,0,1,-1,1,0
12,4,-3,-1,0,4,-3,2
13,-2,0,-1,3,-3,-1,3
14,-2,-1,2,1,-3,2,3
15,-2,-1,2,1,-3,1,3
16,0,4,-2,0,2,-3,4
17,-3,3,-1,-2,3,-3,4
18,2,-2,2,-1,0,-1,2
19,-1,1,-1,2,-2,0,5
20,-1,0,0,4,-1,-1,3
21,0,0,4,-3,-1,0,1
22,-2,3,-2,1,-1,0,5
23,1,0,-1,1,0,-2,0
24,0,0,0,0,0,0,0
25,-2,0,1,0,-1,1,0
26,1,1,-3,3,-2,2,5
27,1,1,1,-2,1,-2,0
28,0,0,0,4,0,-3,3
29,-2,0,0,1,-1,1,0
30,0,-1,0,1,0,0,0
31,4,-2,-1,1,-1,3,2
32,0,0,0,0,0,0,0
33,-3,-1,0,0,0,0,0
34,0,0,0,0,4,-3,0
35,-2,-1,4,-2,1,1,1
36,0,-1,-2,3,-3,1,3
37,2,-1,-1,1,-2,2,3
38,4,-3,3,0,-1,-2,2
39,-1,2,-2,3,-2,0,5
40,-2,0,3,-2,2,-2,1
41,0,4,-3,3,-3,3,5
42,4,-3,3,-3,-1,0,2
43,0,0,0,0,0,0,0
44,0,4,-3,-1,4,-3,4
45,3,-1,-1,1,-2,2,3
46,-1,2,-1,2,-2,2,5
47,4,-3,3,-3,-1,4,2
48,0,-1,1,-1,1,-1,0
49,-1,0,1,0,-1,1,0
50,3,-1,-2,3,-2,0,3
51,-1,3,-3,3,-2,-1,5
52,0,0,-2,3,-1,-1,3
53,-1,-1,-1,3,-2,0,3
54,-2,1,1,0,-2,3,0
55,0,0,0,0,0,0,0
56,-3,3,0,-3,1,0,4
57,0,0,0,0,0,0,0
58,-3,3,-3,3,-3,3,5
59,-1,0,0,2,-2,0,3
60,-3,3,-2,1,0,1,5
61,1,0,0,2,-1,-1,3
62,-3,-1,4,-3,3,-3,1
63,-3,3,-1,-1,2,-3,4
64,0,0,0,0,0,0,0
65,0,-3,3,-2,0,-1,1
66,4,0,-3,3,-3,3,3
67,-3,3,-3,3,-3,-1,5
68,-3,3,-1,-2,2,-2,4
69,0,0,0,0,0,0,0
70,4,-3,-1,0,0,0,2
71,0,0,0,0,0,0,0
72,-3,-1,0,0,0,0,0
73,-3,1,1,-2,3,0,4
74,-1,-1,2,-2,0,3,1
75,-1,0,0,1,0,-2,0
76,0,4,0,-1,-1,0,4
77,-2,1,2,-1,-2,2,1
78,1,-1,1,1,-3,0,3
79,0,3,-3,3,-3,3,5
80,-3,3,-1,-2,-1,0,4
81,1,1,-1,2,-2,1,3
82,2,-3,3,-2,2,-2,2
83,1,-3,2,0,0,-2,2
84,-2,-1,0,3,-3,-1,3
85,-1,3,-1,-2,3,-1,4
86,0,-2,3,-1,-1,1,1
87,0,4,-3,-1,0,4,4
88,-3,0,3,0,-3,3,1
89,-2,-1,-1,4,-1,-2,3
90,-2,3,-3,1,0,2,5
91,3,-3,3,-3,-1,0,2
92,0,1,-1,0,2,-2,0
93,2,-2,1,0,-1,0,2
94,0,0,4,-3,0,3,1
95,-1,4,-3,0,-1,0,5
96,-2,-1,2,-1,0,1,1
97,3,-2,0,1,-1,0,2
98,1,-3,1,0,0,1,2
99,1,-3,1,1,-2,3,3
100,-1,0,-2,-1,4,-3,4
101,3,-3,-1,4,-2,-1,3
102,-2,-1,2,0,-1,2,1
103,0,0,0,0,4,-3,0
104,0,4,-3,-1,0,0,4
105,0,0,0,0,0,0,0
106,-1,2,-3,3,0,-2,5
107,-2,1,0,-1,0,2,0
108,2,0,1,-2,-1,3,2
109,0,0,0,0,0,0,0
110,-1,0,-2,2,-1,0,5
111,0,0,0,0,0,0,0
112,0,-3,2,0,0,-2,1
113,0,0,-2,3,-3,2,3
114,-1,-2,1,2,-3,2,3
115,1,-2,1,-1,0,1,2
116,0,3,-3,3,-1,-2,5
117,0,-2,0,2,-3,3,3
118,-2,2,-3,2,-1,1,5
119,3,-2,1,-1,0,0,2
120,-1,0,1,-1,1,0,0
121,0,0,4,-3,3,-3,1
122,-1,3,0,-1,-1,0,4
123,0,0,0,0,4,-3,0
124,3,-3,1,2,-2,2,3
125,-3,0,3,-1,-2,-1,1
126,-1,4,-3,3,-3,3,5
127,3,-3,3,-3,-1,4,2
128,0,0,0,0,0,0,0
129,-3,-1,0,0,0,0,0
130,0,1,-2,2,-1,1,5
131,-3,3,-1,-1,2,-3,4
132,-1,0,4,0,-3,3,1
133,4,-3,3,0,-3,3,2
134,3,-3,3,0,-1,-1,2
135,-2,-1,3,-2,1,-2,1
136,0,-2,-1,3,-3,3,3
137,3,-3,3,0,-3,2,2
138,0,-2,3,-1,-1,0,1
139,0,-1,0,-1,3,-1,0
140,2,-2,-1,1,2,-2,2
141,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,-1,-2,-1,0,4,-3,0
145,2,-3,3,-2,1,0,2
146,0,2,-1,-2,3,0,4
147,3,-3,2,1,-2,-1,2
148,0,0,0,0,0,0,0
149,0,2,-3,3,-2,2,5
150,-3,3,-3,3,-3,3,5
151,-2,0,2,1,-3,1,0
152,3,-3,3,0,-2,-1,2
153,-3,0,3,-2,-1,-1,1
154,-1,0,0,2,-1,-1,0
155,-2,0,1,-1,1,-2,0
156,1,-1,1,-2,1,1,2
157,1,-1,3,-3,1,0,1
158,4,-3,2,-2,3,-3,2
159,0,1,-3,2,-2,3,5
160,4,-3,3,0,-2,1,2
161,1,2,-3,2,-1,1,5
162,-3,3,-2,1,-1,-1,5
163,-1,-1,0,0,0,0,0
164,0,0,4,-3,3,-3,1
165,-1,-1,0,-1,0,3,0
166,-1,-2,2,0,0,-2,1
167,1,2,-2,2,-1,-2,5
168,1,0,-2,3,-2,1,3
169,4,-3,0,-1,4,-3,2
170,-3,3,-3,3,0,-3,5
171,1,-3,2,-2,3,-3,2
172,1,-2,3,-1,-2,3,1
173,4,-3,-1,4,-3,-1,3
175,0,0,0,0,0,0,0
176,0,0,0,4,-3,-1,3
177,-3,2,0,-1,0,2,4
178,0,0,0,0,0,0,0
179,1,-1,1,-1,1,-1,0
180,0,2,-1,-2,2,0,4
181,-3,3,-3,2,1,-3,5
182,-1,-1,0,2,-2,0,3
183,0,0,0,0,0,0,0
184,-1,3,-3,3,-3,3,5
185,0,0,0,0,0,0,0
186,-1,-1,0,0,1,-1,0
187,-3,-1,4,0,-2,-1,1
188,0,0,0,0,0,0,0
189,0,1,-1,1,-1,0,0
190,-1,1,0,0,-2,3,0
191,3,-3,2,-1,2,-2,2
192,-2,1,0,-2,3,-3,4
193,0,0,0,0,0,0,0
194,-1,4,0,-3,-1,0,4
195,0,0,0,0,0,0,0
196,-1,1,-2,3,-2,2,5
197,-1,2,-3,3,-1,-2,5
198,1,-3,1,2,-3,-1,3
199,0,0,0,0,0,0,0
200,0,0,-2,3,-3,3,3
201,-1,1,-1,0,0,2,0
202,2,-2,2,0,0,1,2
203,0,0,0,0,0,0,0
204,3,-1,-2,3,-3,3,3
205,1,-1,1,-2,3,-2,2
206,4,-3,3,-3,3,-3,2
207,0,0,0,0,0,0,0
208,2,-3,1,-1,3,-3,2
209,3,-3,2,1,-3,0,2
210,-1,-2,-1,0,0,0,0
211,3,-3,0,3,-3,-1,3
212,4,-3,-1,0,0,0,2
213,-1,3,-2,1,-1,1,5
214,-3,3,0,0,-3,1,5
215,1,1,-1,1,0,-2,0
216,2,-3,-1,0,4,-3,2
217,-2,3,-3,-1,4,-2,4
218,-3,3,-3,2,-1,2,5
219,0,3,-3,3,-1,1,5
220,0,0,0,0,0,0,0
221,-3,3,-3,-1,0,0,4
222,0,-1,2,-2,2,-3,1
223,3,-1,1,-3,2,0,2
224,3,-3,3,-1,-2,0,2
225,-3,3,-1,-1,-1,3,4
226,0,0,0,4,-3,-1,3
227,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0
229,-2,2,-1,2,-1,-2,5
230,-2,-1,0,0,4,-3,0
231,0,0,0,0,0,0,0
232,0,0,0,0,0,4,0
233,0,0,0,4,-3,-1,3
234,1,-2,2,-2,3,-2,2
235,2,-3,1,2,-3,0,3
236,0,0,0,0,0,0,0
237,1,-1,1,0,0,1,0
238,-3,3,-3,3,-3,0,5
239,-1,3,-2,1,-2,3,5
240,-2,2,-1,1,-1,1,5
241,0,-3,3,0,-3,0,1
242,0,0,0,0,0,0,0
243,0,0,0,0,4,-3,0
245,3,0,-3,0,3,-3,0
246,-2,3,-2,2,-1,-2,5
247,0,1,0,-2,3,-3,4
248,-3,3,0,-3,2,-2,4
249,1,-1,1,0,1,-2,0
250,-1,-2,2,1,-2,-1,3
251,-1,-1,2,-3,3,-3,1
252,2,1,-2,0,-1,3,0
253,-1,0,0,0,2,-3,0
254,-3,2,0,-2,3,-2,4
255,1,2,-3,1,1,0,4
256,-2,-1,3,-1,1,-3,1
257,-1,0,4,-3,-1,0,1
258,-2,1,0,-1,2,-1,4
