CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_저가_clust_id
1,0,4,-3,-1,0,0,5
2,0,0,0,4,-3,0,4
3,0,0,0,0,0,4,0
4,2,-2,-1,3,0,-2,4
6,-1,1,-2,2,0,-1,5
7,4,-3,3,-3,-1,0,1
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,-1,4,-1,1,-3,1,5
11,0,0,0,0,0,0,0
12,4,-3,3,-2,1,0,1
13,-1,-1,2,-1,-1,0,2
14,-3,3,-3,-1,0,0,5
15,0,-3,3,-2,0,0,2
16,4,-3,3,-3,-1,0,1
17,3,-3,-1,0,0,4,1
18,0,0,0,0,0,0,0
19,0,0,0,0,4,-3,3
20,0,0,0,4,-3,3,4
21,0,-3,3,-2,0,0,2
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,-3,3,-2,-1,3,-1,3
25,-2,-1,3,-2,-1,-1,2
26,0,4,-1,-2,0,-1,3
27,-3,-1,0,0,0,0,0
28,-2,3,-2,-1,1,2,3
29,3,0,0,-3,3,-3,1
30,1,-1,-1,3,-3,-1,4
31,0,0,0,0,0,0,0
32,3,0,-1,1,-2,1,4
33,1,-1,3,-1,1,-2,2
34,0,0,0,0,0,0,0
35,0,2,1,-3,-1,4,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,3,-3,2,-1,0,-1,1
39,0,0,0,0,0,0,0
40,-3,3,0,-2,1,-1,3
41,3,-3,3,-3,3,-3,1
42,-3,1,2,-2,-1,1,2
43,-2,2,0,-2,3,-2,3
44,4,-3,-1,0,0,4,1
45,0,-2,-1,3,-1,0,4
46,0,0,0,0,0,0,0
47,3,-1,-2,2,1,-3,4
48,0,0,0,4,-3,-1,4
49,0,0,0,0,0,0,0
50,-2,0,2,-3,3,-3,2
51,2,0,-2,3,-1,1,4
52,4,-3,-1,0,0,0,1
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,1,-2,-1,3,-2,3
56,-3,-1,0,0,0,0,0
57,-2,3,-3,3,-1,-2,5
58,0,0,0,0,0,0,0
59,4,-2,-1,-1,0,0,1
60,-3,0,3,-3,3,-2,2
61,1,1,1,-2,1,0,0
62,-3,2,1,-3,-1,4,2
