CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,-1,1,0,0,-1
2,0,-3,1,1,1,-2
3,-3,-1,0,0,0,0
4,-2,0,1,-1,1,-2
6,-2,0,0,2,-1,-2
7,1,2,0,-3,3,0
8,-2,-1,3,-3,3,0
9,-2,0,0,2,-2,0
10,-1,0,3,-3,3,-3
11,3,-2,-1,3,-3,3
12,3,-3,-1,4,-1,-2
13,-2,3,-1,-2,3,-3
14,2,-3,3,-2,1,-2
15,-1,0,3,-3,0,3
16,4,-3,0,0,3,-2
17,-3,3,-3,3,-2,0
18,0,0,-1,0,4,-3
19,-2,-1,4,-2,2,-3
20,3,-3,3,0,-1,0
21,3,-3,0,3,-3,2
22,0,0,0,0,0,0
23,-3,3,-3,3,-1,-1
24,3,-3,-1,0,4,-1
25,-2,-1,3,-2,-1,3
26,-2,2,-1,-1,3,-2
27,0,1,-2,3,0,-3
28,4,-3,-1,0,0,0
29,2,-2,3,-2,2,-1
30,-1,4,-3,3,-2,-1
31,0,-1,-1,-1,2,0
32,1,-3,-1,0,0,4
33,-3,-1,0,0,0,4
34,-3,2,-2,3,-3,-1
35,-2,0,1,-1,2,-3
36,4,-2,-1,-1,4,-3
37,0,4,-3,3,-3,3
38,0,-1,3,-2,2,-1
39,0,-1,0,0,4,0
40,-1,3,-1,0,-2,2
41,-3,-1,0,4,-3,-1
42,1,-1,-1,0,4,0
43,0,3,-3,-1,0,0
44,2,-1,1,-3,0,3
45,1,-1,-2,3,-3,3
46,-3,3,-3,3,-1,1
47,-1,0,-1,0,0,4
48,3,-1,-1,2,-1,1
49,0,-2,2,-3,3,-1
50,0,-2,0,3,-3,3
51,2,-3,0,3,0,-3
52,-1,2,0,0,-2,0
53,0,4,-2,-1,0,0
54,-3,3,0,-3,-1,0
55,3,-3,-1,0,0,0
56,2,-1,-1,1,-2,1
57,4,-3,-1,0,0,0
58,2,0,-1,0,2,-2
59,0,0,4,0,-1,-2
60,0,2,-2,3,-3,1
61,-1,2,-1,2,-1,0
62,-1,-2,-1,4,-3,3
63,-3,-1,4,-3,3,-3
64,0,-3,-1,0,0,0
65,-3,-1,4,-3,0,3
66,0,1,2,-3,2,-1
67,1,-2,-1,0,0,0
68,0,-2,2,-2,3,0
69,0,0,0,0,0,0
70,2,-3,1,-1,3,-1
71,0,0,0,0,0,0
72,3,-3,3,-1,1,-3
73,1,-2,3,-3,2,0
74,-1,-1,1,0,-1,3
75,4,-3,-1,0,0,0
76,1,-3,0,3,-3,2
77,0,0,-2,2,0,-1
78,4,-3,1,2,0,-1
79,-3,3,-3,0,3,-3
80,4,-3,2,1,-3,3
81,0,-3,3,-1,-2,0
82,1,-1,-2,3,-1,-2
83,-1,-1,-1,3,-1,-2
84,2,-2,2,-1,1,1
85,3,-3,3,-2,-1,3
86,-2,-1,3,-3,2,-1
87,-2,3,-3,-1,4,-1
88,4,-3,-1,4,-2,2
89,-3,3,-2,-1,3,-3
90,-1,3,-3,3,-2,-1
91,-3,2,0,-2,3,-3
92,1,-1,-1,3,-1,-1
93,1,-2,3,-3,3,-3
94,4,-1,-1,0,1,-1
95,2,0,-2,0,3,-3
96,-3,3,-3,0,3,-1
97,0,2,0,1,-1,-2
98,1,-1,0,-2,3,-3
99,0,-1,1,0,-2,0
100,0,0,-3,0,3,-3
101,4,-3,-1,0,0,0
102,1,-1,3,-1,0,-2
103,0,-3,-1,0,0,0
104,3,-3,3,-1,-2,-1
105,-3,-1,0,4,0,-3
106,-2,1,-1,2,-3,2
107,1,-1,-1,3,-2,2
108,3,-2,1,1,-2,-1
109,3,-3,-1,0,0,4
110,0,-3,3,-3,3,-3
111,0,0,0,0,0,0
112,2,1,0,-2,1,1
113,2,0,0,-2,1,2
114,-1,-1,-1,2,0,-2
115,-2,3,-3,3,-3,-1
116,-1,0,-2,3,-3,3
117,-1,0,0,4,-3,-1
118,2,-1,-1,0,2,-2
119,-3,3,-1,-2,3,-3
120,0,-1,-1,3,-1,-2
121,-2,3,0,-3,3,0
122,1,-1,2,-3,3,-3
123,-3,-1,0,0,0,0
124,1,-1,0,2,-3,1
125,3,-3,1,1,-2,3
126,3,0,-1,-2,2,-2
127,0,-2,3,-3,-1,4
128,4,-3,-1,0,0,0
129,0,0,0,0,0,0
130,0,0,1,-1,-1,2
131,-2,-1,2,0,0,-2
132,-1,4,-1,-2,2,1
133,3,-3,3,-3,1,2
134,-1,-1,1,-2,1,1
135,-2,-1,3,0,0,-3
136,-3,3,-3,3,-3,3
137,3,-2,0,1,1,-3
138,2,-1,0,-2,0,3
139,0,-3,0,3,0,-2
140,3,0,-3,-1,0,4
141,-3,-1,0,0,0,0
143,4,-3,-1,4,-3,-1
144,-2,-1,0,-1,4,-3
145,1,1,-2,3,0,-3
146,1,-2,3,-3,3,-3
147,-1,1,0,-1,0,0
148,4,-3,-1,0,0,0
149,2,-2,-1,1,2,-3
150,-3,3,-3,3,0,-3
151,-3,3,-3,3,-3,3
152,0,-2,2,-3,3,-3
153,-1,4,-3,3,-3,2
154,0,3,-3,-1,4,-2
155,-1,0,1,0,0,-1
156,0,-1,2,-2,-1,2
157,0,-3,0,3,0,-1
158,4,-2,-1,-1,4,-2
159,-2,0,0,2,-3,3
160,-1,1,0,1,-2,-1
161,3,-2,-1,3,-3,3
162,-1,1,-2,3,-1,-1
163,1,-3,3,-3,3,-3
164,-3,3,-3,2,-1,-1
165,0,-1,-1,-1,0,3
166,-1,0,-2,0,3,-2
167,-1,1,-2,3,0,-3
168,-3,3,-3,3,-2,1
169,0,-1,0,4,-2,2
170,3,-3,-1,0,0,0
171,3,-3,1,2,0,-3
172,-2,3,-3,1,1,0
173,-3,-1,0,4,-3,0
175,0,-3,3,-3,-1,0
176,0,0,0,4,-3,-1
177,-3,3,0,-3,1,-1
178,0,3,-3,3,-3,3
179,2,-1,2,-2,0,0
180,-3,-1,4,-3,-1,4
181,2,0,-1,2,-3,2
182,0,-2,3,-3,3,-1
183,0,4,-3,-1,0,0
184,-2,2,-2,3,-3,3
185,4,-3,-1,0,4,-3
186,-3,2,-2,3,-2,-1
187,0,0,-1,4,-3,3
188,3,-3,0,3,-3,3
189,1,-3,0,3,0,-2
190,2,-1,2,-2,-1,2
191,-1,0,-2,0,3,-3
192,-2,-1,2,-1,2,-3
193,-1,0,0,0,0,0
194,-3,3,-1,0,-1,2
195,0,0,0,0,0,0
196,-3,3,-2,0,0,2
197,-3,3,-3,2,-2,3
198,-2,2,-3,3,-3,3
199,-1,1,-3,3,-3,3
200,4,-3,-1,4,-3,3
201,0,1,-1,1,0,-1
202,-3,3,-2,0,1,-2
203,-3,-1,0,0,4,-2
204,0,-1,0,1,0,0
205,-1,3,-2,-1,2,-1
206,3,-2,-1,0,-1,4
207,-3,0,-1,0,0,0
208,-1,-2,2,-2,0,0
209,-1,2,-3,3,-2,-1
210,0,-3,3,-3,3,-3
211,-1,0,0,4,0,-2
212,3,-3,0,3,-3,0
213,-3,3,-3,3,-3,3
214,-1,0,3,-3,0,3
215,-2,1,-1,2,-1,-2
216,-3,1,-1,-1,4,-3
217,4,-3,3,-2,-1,-1
218,0,-1,-1,3,0,-3
219,-3,3,-3,3,-2,0
220,0,0,0,0,4,-3
221,-3,3,-2,-1,-1,4
222,1,-1,3,-2,2,-3
223,1,2,-3,2,0,-2
224,-1,-1,0,1,0,-2
225,-3,2,0,0,-2,3
226,-1,0,0,4,-3,-1
227,0,0,0,0,0,0
228,3,-3,-1,0,4,-3
229,-3,3,-1,-2,3,-3
230,-3,3,-2,1,-2,3
231,0,-3,0,-1,4,-3
232,-3,0,-1,0,4,-3
233,0,0,0,4,-3,3
234,-2,0,-1,3,-2,-1
235,3,-3,0,-1,0,4
236,0,0,0,0,0,4
237,-3,3,-3,3,-3,3
238,0,0,-3,3,-3,0
239,-1,1,1,0,0,-2
240,-2,2,-2,3,0,-1
241,3,-1,0,-1,0,0
242,4,-1,1,-3,0,-1
243,0,4,-3,-1,4,0
245,-3,3,-3,0,3,-3
246,3,-1,-2,2,-2,3
247,3,0,-3,2,-2,3
248,2,-2,3,-3,3,0
249,2,-1,2,-1,-2,3
250,0,1,-1,-1,3,-2
251,-2,3,0,-2,0,1
252,1,-2,0,3,-3,3
253,-3,3,-1,-1,1,0
254,0,-2,2,-1,-1,3
255,-1,2,0,0,-1,1
256,1,-2,0,3,-1,-1
257,-2,-1,4,-3,1,-1
258,3,-3,3,-3,3,-3
259,-3,3,-3,3,-3,3
260,0,-3,0,-1,0,4
261,-2,3,-1,-1,1,-2
262,-2,0,3,-2,-1,2
263,-3,-1,0,0,4,-2
264,4,-1,-1,-1,3,-3
265,-2,2,-2,3,-2,2
266,-2,0,0,2,-3,1
267,-2,1,-2,1,0,2
268,0,-3,0,1,2,-1
269,3,-3,3,-2,-1,3
270,0,0,4,-3,-1,4
271,-3,3,-3,1,2,-1
272,-3,2,1,-3,2,1
273,-3,2,1,-1,-2,3
274,0,0,0,0,0,0
275,0,3,-3,3,-3,1
276,0,0,4,0,-3,-1
277,-1,1,0,0,-1,-1
278,0,0,0,0,0,0
279,0,-3,1,2,-3,2
280,3,-2,0,1,-1,0
281,1,-3,0,3,-1,-2
282,-2,1,-1,1,-1,1
283,0,-3,3,-3,0,1
284,4,-3,-1,0,0,0
285,0,-3,3,-2,-1,0
286,0,-2,3,-1,-2,3
287,-3,0,0,-1,4,-3
288,2,0,-2,3,-1,-2
289,-3,1,2,-3,3,-3
290,0,4,-3,-1,4,-3
291,4,-3,-1,0,0,4
292,3,-2,1,0,-2,1
293,3,-3,3,-1,0,-2
294,3,-1,-1,1,-1,0
295,-2,-1,3,-2,-1,0
296,-1,2,1,0,-3,3
297,-2,1,-2,3,-2,2
298,0,1,-1,-1,-1,2
299,0,0,3,-3,3,-3
300,3,-3,-1,0,0,4
301,3,0,0,-3,0,3
302,3,-2,-1,3,-3,1
303,0,3,-3,3,0,-3
304,-1,-2,1,2,0,-3
305,1,-3,2,0,-1,-1
306,0,-1,-1,3,0,-2
307,0,-1,-1,2,-1,0
308,-3,2,-1,0,1,-2
309,-3,3,0,-3,3,0
310,1,0,-1,2,1,-3
311,0,-1,4,-1,1,-2
312,0,0,0,0,0,0
313,-1,3,-3,3,-2,-1
314,0,0,1,-1,1,-1
315,-3,2,-2,3,-2,2
316,1,-3,0,3,0,-3
317,0,-3,2,1,0,-3
318,0,-3,0,3,-1,-2
319,-1,0,1,-1,1,-2
320,2,-1,1,0,-2,1
321,-1,-1,1,2,-2,0
322,-3,3,-2,1,-1,0
323,-2,0,3,-2,2,-3
324,-3,2,1,-3,3,-3
325,-2,1,0,2,-3,3
326,-3,3,-1,0,0,0
327,2,-2,3,-2,1,-2
328,3,-3,3,-3,2,0
329,-3,3,-2,2,-3,3
330,4,-3,-1,0,0,0
331,-1,-2,3,-3,3,-2
332,2,-3,3,-2,1,-2
333,-1,-2,3,-3,2,0
334,-3,0,2,1,-1,0
335,-1,-2,2,-1,0,2
336,0,1,1,1,-3,3
337,0,-1,-2,3,-3,3
338,-1,-2,3,-1,-2,-1
339,0,-3,3,-2,-1,2
340,-3,3,-1,-2,1,1
341,3,-1,-2,3,-1,0
342,-3,-1,0,0,4,-3
343,2,-2,3,0,-3,2
344,-3,2,-1,1,-1,1
345,-2,3,-3,2,-1,0
346,3,-2,-1,-1,4,-3
347,1,-3,3,-3,2,-1
348,0,0,0,0,0,0
349,-1,2,1,-1,-1,-1
