CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭
1,0,4,-3,0,-1,0
2,0,0,0,0,0,0
3,4,-3,-1,0,0,0
4,-3,3,-3,-1,0,0
6,0,1,-1,-1,3,-2
7,0,-2,3,0,-3,-1
8,-1,0,0,0,0,0
9,0,0,0,0,0,0
10,-3,3,-2,2,-2,1
11,-1,0,0,0,0,0
12,-1,0,3,-1,-1,-1
13,0,1,-1,0,2,-3
14,-2,0,1,-1,-1,3
15,-1,-2,3,-3,-1,0
16,0,0,0,0,0,0
17,4,-3,-1,4,-3,0
18,4,-3,-1,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,-3,2,-1,-1,3,0
22,0,0,0,0,0,0
23,3,-1,-2,-1,0,0
24,-2,3,-3,3,-1,-2
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,4,-3,-1,0,0
28,-2,0,-1,4,-1,-2
29,1,-1,0,-2,3,-2
30,0,-1,1,0,0,-1
31,0,0,0,0,0,0
32,1,-2,3,-3,3,-3
33,0,2,-3,-1,0,4
34,0,0,0,0,0,0
35,-3,0,-1,0,4,-3
36,-3,-1,0,0,0,0
37,0,0,0,0,4,-1
38,-1,0,2,-3,1,1
39,0,0,0,0,0,0
40,3,-3,2,-2,3,-2
41,0,0,0,0,4,-3
42,-3,0,3,-1,0,-1
43,-1,1,-1,2,-3,3
44,4,0,-3,3,-3,3
45,-1,-2,3,-3,-1,4
46,0,0,0,0,0,0
47,0,-1,3,-1,-1,0
48,-3,3,-3,-1,4,-1
49,0,0,0,0,0,0
50,-1,0,4,-1,-2,-1
51,1,0,-1,0,1,0
52,4,-3,-1,0,0,0
53,0,0,0,0,0,4
54,-1,0,0,0,0,0
55,3,-1,-1,0,0,1
56,0,4,-3,-1,0,0
57,0,2,-3,2,0,0
58,0,0,0,0,0,0
59,4,0,-3,-1,0,0
60,-1,0,-2,0,3,-3
61,-2,1,1,0,-2,2
62,3,-1,-2,0,3,-3
63,0,0,0,0,0,0
64,-3,3,-3,-1,0,4
65,0,-2,3,-2,1,-1
66,1,0,-1,2,-3,2
67,1,-1,-1,3,-3,-1
68,-2,-1,-1,0,0,4
69,-3,3,-3,-1,4,-2
70,0,0,0,0,0,0
71,2,-2,2,-3,3,-3
72,2,-2,0,1,-1,0
73,0,0,0,0,0,0
74,-3,0,3,-3,0,-1
75,0,4,-3,-1,0,0
76,-3,-1,0,0,0,0
77,0,-3,0,3,-3,3
78,-1,3,-2,2,-3,3
79,1,0,-2,1,1,-2
80,-2,3,-1,0,-1,1
81,0,0,0,0,4,-3
82,-1,-1,1,0,-1,1
83,-3,3,-1,-2,-1,4
84,0,0,4,-3,-1,0
85,0,0,0,0,0,0
86,0,3,-3,0,3,-1
87,0,0,0,0,0,0
88,-3,3,-3,0,3,-3
89,-1,-1,2,-2,-1,0
90,0,4,-3,-1,0,0
91,-1,0,0,4,-3,3
92,-2,2,1,-3,1,0
93,0,0,0,0,0,0
94,-2,-1,-1,4,-3,-1
95,-3,3,-3,3,-3,3
96,0,0,0,0,0,0
97,-1,3,0,-3,3,-3
98,1,-2,-1,0,0,0
99,1,-2,3,-3,-1,0
100,-1,-1,0,0,0,0
101,2,-2,-1,0,0,0
102,0,-1,-1,-1,3,-2
103,3,-1,-1,2,-2,-1
104,1,-2,3,-3,-1,4
105,0,1,-1,0,2,-2
106,0,0,4,-3,-1,0
107,-1,4,-3,-1,0,0
108,0,0,0,0,0,0
109,-3,-1,0,0,4,-3
110,3,-1,-1,1,1,-2
111,3,-3,3,-3,-1,0
112,4,-1,-1,-1,3,-1
113,-3,3,-3,3,-1,-1
114,-3,-1,0,0,0,0
115,4,-3,-1,0,0,4
116,0,-1,0,0,4,-3
117,-1,2,-1,-1,-1,3
118,0,0,0,0,0,0
119,-3,-1,4,-1,-2,-1
120,3,-3,3,-2,-1,3
121,4,-2,-1,-1,4,-3
122,-1,-2,3,0,-3,3
123,0,-3,3,-2,-1,1
124,4,-3,-1,0,0,0
125,-2,-1,3,-1,-2,3
126,-1,-1,0,0,0,0
127,4,-2,1,-2,-1,0
128,1,-2,-1,0,4,-3
129,-1,1,1,-2,0,-1
130,0,4,-3,3,-3,-1
131,0,3,-3,-1,4,-3
132,-3,0,-1,4,-3,-1
133,1,1,-2,2,-3,-1
134,0,4,-3,-1,0,0
135,4,-3,-1,0,0,0
136,0,0,0,0,0,0
137,3,-2,-1,-1,4,-1
138,-1,-2,-1,4,-3,-1
139,-1,0,0,2,-3,1
140,0,-3,-1,0,0,0
141,2,-1,1,1,-3,2
143,1,-2,3,-1,-1,1
144,1,-2,0,-1,3,-1
145,0,4,-3,-1,0,0
