CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,침구_주방_저가_clust_id
1,0,4,-3,0,-1,0,4
2,0,0,0,0,0,0,1
3,4,-3,-1,0,0,0,2
4,-3,3,-3,-1,0,0,4
6,0,1,-1,-1,3,-2,3
7,0,-2,3,0,-3,-1,5
8,-1,0,0,0,0,0,1
9,0,0,0,0,0,0,1
10,-3,3,-2,2,-2,1,4
11,-1,0,0,0,0,0,1
12,-1,0,3,-1,-1,-1,5
13,0,1,-1,0,2,-3,3
14,-2,0,1,-1,-1,3,1
15,-1,-2,3,-3,-1,0,5
16,0,0,0,0,0,0,1
17,4,-3,-1,4,-3,0,0
18,4,-3,-1,0,0,0,2
19,0,0,0,0,0,0,1
20,0,0,0,0,0,0,1
21,-3,2,-1,-1,3,0,3
22,0,0,0,0,0,0,1
23,3,-1,-2,-1,0,0,2
24,-2,3,-3,3,-1,-2,4
25,0,0,0,0,0,0,1
26,0,0,0,0,0,0,1
27,0,4,-3,-1,0,0,4
28,-2,0,-1,4,-1,-2,0
29,1,-1,0,-2,3,-2,3
30,0,-1,1,0,0,-1,1
31,0,0,0,0,0,0,1
32,1,-2,3,-3,3,-3,5
33,0,2,-3,-1,0,4,4
34,0,0,0,0,0,0,1
35,-3,0,-1,0,4,-3,3
36,-3,-1,0,0,0,0,1
37,0,0,0,0,4,-1,3
38,-1,0,2,-3,1,1,5
39,0,0,0,0,0,0,1
40,3,-3,2,-2,3,-2,2
41,0,0,0,0,4,-3,3
42,-3,0,3,-1,0,-1,5
43,-1,1,-1,2,-3,3,0
44,4,0,-3,3,-3,3,0
45,-1,-2,3,-3,-1,4,5
46,0,0,0,0,0,0,1
47,0,-1,3,-1,-1,0,5
48,-3,3,-3,-1,4,-1,3
49,0,0,0,0,0,0,1
50,-1,0,4,-1,-2,-1,5
51,1,0,-1,0,1,0,1
52,4,-3,-1,0,0,0,2
53,0,0,0,0,0,4,1
54,-1,0,0,0,0,0,1
55,3,-1,-1,0,0,1,2
56,0,4,-3,-1,0,0,4
57,0,2,-3,2,0,0,4
58,0,0,0,0,0,0,1
59,4,0,-3,-1,0,0,2
60,-1,0,-2,0,3,-3,3
61,-2,1,1,0,-2,2,1
62,3,-1,-2,0,3,-3,2
63,0,0,0,0,0,0,1
64,-3,3,-3,-1,0,4,4
65,0,-2,3,-2,1,-1,5
66,1,0,-1,2,-3,2,0
67,1,-1,-1,3,-3,-1,0
68,-2,-1,-1,0,0,4,1
69,-3,3,-3,-1,4,-2,3
70,0,0,0,0,0,0,1
71,2,-2,2,-3,3,-3,2
72,2,-2,0,1,-1,0,2
73,0,0,0,0,0,0,1
74,-3,0,3,-3,0,-1,5
75,0,4,-3,-1,0,0,4
76,-3,-1,0,0,0,0,1
77,0,-3,0,3,-3,3,0
78,-1,3,-2,2,-3,3,4
79,1,0,-2,1,1,-2,1
80,-2,3,-1,0,-1,1,4
81,0,0,0,0,4,-3,3
82,-1,-1,1,0,-1,1,1
83,-3,3,-1,-2,-1,4,4
84,0,0,4,-3,-1,0,5
85,0,0,0,0,0,0,1
86,0,3,-3,0,3,-1,3
87,0,0,0,0,0,0,1
88,-3,3,-3,0,3,-3,3
89,-1,-1,2,-2,-1,0,5
90,0,4,-3,-1,0,0,4
91,-1,0,0,4,-3,3,0
92,-2,2,1,-3,1,0,3
93,0,0,0,0,0,0,1
94,-2,-1,-1,4,-3,-1,0
95,-3,3,-3,3,-3,3,4
96,0,0,0,0,0,0,1
97,-1,3,0,-3,3,-3,3
98,1,-2,-1,0,0,0,1
99,1,-2,3,-3,-1,0,5
100,-1,-1,0,0,0,0,1
101,2,-2,-1,0,0,0,2
102,0,-1,-1,-1,3,-2,3
103,3,-1,-1,2,-2,-1,0
104,1,-2,3,-3,-1,4,5
105,0,1,-1,0,2,-2,3
106,0,0,4,-3,-1,0,5
107,-1,4,-3,-1,0,0,4
108,0,0,0,0,0,0,1
109,-3,-1,0,0,4,-3,3
110,3,-1,-1,1,1,-2,2
111,3,-3,3,-3,-1,0,2
112,4,-1,-1,-1,3,-1,2
113,-3,3,-3,3,-1,-1,4
114,-3,-1,0,0,0,0,1
115,4,-3,-1,0,0,4,2
116,0,-1,0,0,4,-3,3
117,-1,2,-1,-1,-1,3,4
118,0,0,0,0,0,0,1
119,-3,-1,4,-1,-2,-1,5
